rank	username	minecraft:crafted/minecraft:cyan_stained_glass_pane
1	joethahobo	30504
2	Awyrlas	6056
3	Yamdalorian	2848
4	beeperbeeper5	2160
5	Blackberry1310	1536
6	Ezekson	1440
7	NameGenerat0r	1326
8	TheShyPig	640
9	ImpavidArcher	576
10	Fullut	448
11	r123moore	368
12	Frozil20	336
12	Hyp3rion_	336
14	Lez_	256
15	craaaash	240
15	El_Jalapeno	240
15	LuvLuvLove	240
18	500am	168
19	abramgray	160
19	Jackattack53	160
19	Jonafrog99	160
19	doublemaki	160
23	milltesco	144
23	Mattesco	144
25	pintsizedrogue	128
25	emreknugrlu	128
27	mihimihimihi	112
27	Steelynan	112
29	Chrisdeadeye	96
29	luseis	96
29	Legendosh	96
32	Spacewardharpy7	72
32	Druid95	72
34	The_slideV3	64
34	lordpipe	64
36	heckface	56
37	RoskobiOne	48
37	Diavri	48
37	Manaateee	48
37	Blaiku	48
41	Alteriity	32
41	Mahoose	32
41	TheSecondLord	32
41	_witch_craft_	32
41	Marbz_	32
41	Zythose	32
41	ApophisNova	32
41	RobotMinion101	32
41	MyNamaSheff	32
50	k_ce	16
50	Rumpletaezer	16
50	hanaryheatwave	16
50	HellsSponge	16
50	cuddlyMonster	16
50	Eraxa	16
50	SvenskaHugo	16
50	pixelviolin	16
50	Soplight	16
50	jnp_gaming	16
50	TheWickedBird	16
61	Mr_Byzantine	8
61	PlasticOtari	8
