rank	username	minecraft:crafted/minecraft:bamboo_stairs
1	U_Mos_	816
2	Mr_Froxy	260
3	Synthoum	232
4	Mattesco	212
5	Mr_Byzantine	184
6	Bambuino	156
7	kalzor	148
8	_witch_craft_	140
9	Merv__	68
10	CacheOut	56
11	TheSecondLord	40
12	Mr_Sun15	36
13	pintsizedrogue	32
13	McCakeAh	32
15	k_ce	28
15	akap47	28
17	lpinfinity	24
17	Spaghettatron	24
19	Buuck_	20
20	Hoid_the_Roamer	16
20	FiguraDei	16
22	Napoleonpancake	12
22	BTL_craft	12
24	Niklas20114552	8
24	cyuar	8
24	MattieHD	8
24	Werbe	8
24	Steelynan	8
29	gamerlord1324	4
29	noam464	4
29	craaaash	4
29	pixelviolin	4
29	Jimb0nat0r	4
29	Yamdalorian	4
