rank	username	minecraft:crafted/minecraft:deepslate_brick_slab
1	CattSoup	402
2	SquadMonster	132
2	Fuad_R	132
4	ZoomieZoomie	126
5	breadbowlgamer	112
6	91stCataclysm	78
7	Jimi7hits	66
8	Ev0luti0nz	48
9	Marbz_	42
10	Soplight	38
11	pintsizedrogue	34
12	Masssonnn	30
12	Jiminie	30
14	Winklepicker279	24
15	thewindmillman	20
15	kyouma777	20
17	iHuntWeeaboos	18
18	ImpavidArcher	16
18	Smoke____	16
20	sp00ky_ghost977	12
20	Meeerkat	12
22	UCP_TheKingK	10
23	MAns_44	6
23	microcrisp	6
25	Smashic	4
26	Megarboh	2
26	Solar_Power	2
26	PlasticOtari	2
