rank	username	minecraft:crafted/minecraft:wayfinder_armor_trim_smithing_template
1	Mattesco	178
2	MattieHD	22
3	beeperbeeper5	10
3	Enderxz3	10
5	Apollo_993	4
5	Jimb0nat0r	4
7	CLG_Kata	2
7	BPTY4618	2
7	Huwulling	2
7	rarrq	2
7	TheSecondLord	2
7	Secret_Canary	2
7	noam464	2
7	crashomon	2
7	Hyp3rion_	2
7	oscminus	2
7	Manaateee	2
