rank	username	minecraft:crafted/minecraft:book
1	joethahobo	6312
2	EveryonesUncle	5609
3	beeperbeeper5	4428
4	Legendosh	4286
5	Ezekson	3961
6	Njensen7	2545
7	Freak_Genius	2531
8	Lord_Jord	2520
9	500am	1329
10	youhjjhhhjj	1304
11	Inchef	1296
12	xxPipperDipperxx	1286
13	TheShyPig	1271
14	PlasticOtari	974
15	Dedalus36	834
16	El_Jalapeno	818
17	HellsSponge	755
18	Snowflowe	754
19	12Magner05	697
20	lordpipe	639
21	SaucyDark	612
22	Kowcio_	611
23	noam464	605
24	Awyrlas	487
25	Frozil12	444
25	Xclax101	444
27	rarrq	428
28	eitanzaki	403
29	MightyWertu	400
30	Sky_light_KING	399
31	Hisiste	394
32	Di_infiri	390
33	fluddd	381
34	Kateesaur	380
35	Harotio	370
36	vandmanden	365
37	Blackberry1310	363
38	Winklepicker279	340
39	bloodbiter	337
40	Akoot_	328
40	masskedman	328
42	Fuhrer_Teemo	326
43	Spacewardharpy7	322
44	Comma__	314
45	_Dean_123	305
46	VentiHilton	297
47	Smoke____	296
48	FishyBoy3811	295
49	Kakolbus	288
50	burbankbuilder28	278
51	m_be9	276
51	PigDab	276
53	PlzNoBM	275
54	RoskobiOne	272
55	wobn	268
56	fffMike	265
57	TheSecondLord	261
57	Werbe	261
59	KarlKaek	258
60	Historical_Sand	257
61	Skylord_Luke	252
62	RodSerlingCringe	250
63	bloomkieren	248
64	Eczbek	247
65	MangoTheFish	240
66	Fullut	229
67	intropass	226
68	Hiryu27	222
69	ApophisNova	221
69	MyNamaSheff	221
71	loveseeker	220
72	MilleGrug	214
73	audiocracked	210
74	Cowison	208
75	jacxhadow	202
76	soundad	201
76	MissCeleste7	201
78	YungMaki	198
79	teslawolf38	194
79	EfficientC52	194
81	Jiminie	193
82	MinttyFressh	192
83	__tomato	191
84	fw3xywashere	188
85	RebelAndroid	185
86	Sral7	184
87	CoffeeNoir	181
88	gcaisawesome	178
89	Skippeh	175
90	Mahoose	168
90	Windo_licker	168
92	wezzzi	165
93	Soap_Bender	162
94	Jimi7hits	161
94	Deodorante	161
94	Razzgriz	161
97	SeverianTheLame	160
97	gabriels543	160
99	Chromary	158
100	T045RTY	157
100	kekhon	157
102	RadarHz	155
103	_TCARREIRA_	154
104	eiC_	153
105	selectrix	151
106	TooManyDuck	150
106	Enderslayerxz3	150
108	Noah_Bez	148
109	Wolverine4302	146
109	jnp_gaming	146
111	dudcreeper	145
111	Hyugo	145
113	djancak	142
114	starbits140	139
115	Smashic	138
115	EcksD	138
117	Ssor69	134
117	CharlieButt	134
119	q_wq	133
119	XxCookiequeenxX	133
121	TheOnlyRake	131
122	Jovaphobic	130
123	pintsizedrogue	129
123	ROY4LE	129
123	UrbanPlanner1978	129
126	I_Am_Mushkin	128
126	wwwwinnebagoooo	128
128	SteveWithClout	127
128	2blox	127
130	MattieHD	126
130	SuperPooch06	126
132	Tolhart	125
132	Juh1s	125
132	Dogcorn69420	125
132	Lowjinx	125
136	Megarboh	124
137	ThePoliteG	123
137	BreadBacon	123
139	mwrty	120
140	Malorn_Aetherius	119
141	Merv__	118
142	_3Stump_	115
143	gaziter10	112
144	TechnoNinja64	108
145	_Karmaa	105
146	Fildyr	104
147	TheDankPlatypus	102
147	DarkS0L	102
147	Powowowow	102
150	SvenskaHugo	101
151	LeeMcGee30	99
152	KeruNatsema	98
153	Vizzoid	97
153	Fizznut909	97
155	Meatlaugh	96
155	SammiWolfGirl	96
157	eclipseboi	95
157	pappaberg	95
159	Kubeusz2010	94
160	Z3braYTIL	93
160	Soplight	93
162	Lepthymo	92
162	set67	92
162	ProfessorDiaper	92
165	Bandito_Roamer	90
165	epiksk8erduck	90
167	livingdaydreams	88
167	_Cloverbelle_	88
167	Decaying_Lotus	88
167	Dreamdbr14	88
171	EMC_	86
171	Guillemet	86
171	SLASHZEERA	86
174	Zythose	84
175	1442	83
176	6king6colt6	82
176	ivorico	82
176	MyNameIsJobo	82
179	legoclone09	80
180	Ozixar	79
180	Typadopoulos	79
180	SSytex_X	79
183	Seyaboy	78
183	Myszoaz	78
185	Kubelz	77
186	fallingemma	76
187	BRRRN179	75
187	claivin	75
187	Winston_Ingram	75
190	Sleek_Storm_721	74
190	Wooptey	74
190	crying_wolf_13	74
190	Mewar	74
190	fkGrim	74
190	Blu3beast	74
190	IvarEXE	74
197	drumine	73
198	SUN_DREAM	72
198	sp00ky_ghost977	72
198	laron58	72
201	Inbefour	71
202	Incinere	70
203	Arceus1975	69
203	ItsAki_	69
203	fred870d	69
203	WYFYoyo	69
207	AlphaWolfPlaysMC	68
207	censorsheep	68
209	Skomo	67
209	kinas45y5	67
211	LilLizardWizard	66
211	Katsuragi0243218	66
211	DennyKai	66
214	Corbsman	65
214	DanTheBuilderino	65
214	mobunni	65
217	emrekn	64
217	Hoid_the_Roamer	64
217	aa2x_	64
217	Templar_David	64
217	IdeallyGrey	64
222	ssleepless	63
