rank	username	minecraft:crafted/minecraft:cake
1	Mahoose	2273
2	Blackberry1310	167
3	xxPipperDipperxx	154
4	noam464	138
5	luseis	115
6	jnp_gaming	110
7	Enderxz3	97
8	teslawolf38	90
9	_Boipl_	70
10	Ezekson	66
11	Akoot_	63
12	bloodbiter	61
13	500am	57
14	6king6colt6	54
15	kekhon	53
16	Snowflowe	46
17	eitanzaki	44
18	Lez_	43
19	pintsizedrogue	42
20	Di_infiri	41
21	Soplight	40
22	Merv__	37
23	claivin	36
24	ConnorDanky_	33
24	TechnoNinja64	33
26	PlasticOtari	32
27	FreakGenius	29
28	Xclax101	28
29	TheShyPig	26
30	eviltunix	25
30	Lord_Jord	25
32	diamondgolem35	23
33	Lord_Doob	17
34	titanlax	16
34	Sral7	16
36	heckface	15
36	Eraxa	15
38	xzvu	14
39	Fullut	13
39	Xalithia	13
39	thewindmillman	13
42	BodaciousCake	12
42	Kamflame10	12
42	Kakolbus	12
42	Kouridragon	12
42	PigDab	12
42	EveryonesUncle	12
42	h2p_emrld	12
49	noodlepack	11
49	Bumpy419	11
49	pixelviolin	11
49	Kowcio_	11
49	SammiWolfGirl	11
49	Steelynan	11
55	PhantomsGhost_	10
55	beeperbeeper5	10
57	ZaneABrain	9
57	thgrocks	9
57	somegirl12_	9
57	UCP_TheKingK	9
57	EcksD	9
62	SaucyDark	8
62	TheSecondLord	8
62	Cocoamallows	8
62	Hermanni__	8
62	Smoke____	8
67	RustyKedel	7
67	ese_wn_po	7
69	_Virify_	6
69	RoofTyler	6
69	The_slideV3	6
69	Jimb0nat0r	6
69	WYFYoyo	6
74	H0UNDFRMH3LL	5
74	EMC_	5
74	Ryker	5
74	T045RTY	5
74	ShedJr_	5
74	Chromary	5
74	Hyp3rion_	5
74	sufjanlover	5
74	DarlaMeow	5
74	lcvezra	5
84	El_Jalapeno	4
84	fluddd	4
86	Batoser	3
86	pZygh0st	3
86	Hpdinosaur	3
86	ThiccExotic	3
86	Myszoaz	3
86	dopplexd	3
86	Ardennes	3
86	SvenskaSara	3
86	ApophisNova	3
86	IAmTheWalrus910	3
86	MyNamaSheff	3
97	Groovy_MoonBird	2
97	H72l9w	2
97	FirsTimeGamingTV	2
97	Ravenbie	2
97	Smashic	2
97	UncreativeArtist	2
97	NotMeanttoChange	2
97	ROY4LE	2
97	olliebollie48	2
97	AJplaysMC_	2
97	Rumpletaezer	2
97	Arceus1975	2
97	HoldThatPee	2
97	HellsSponge	2
97	Quaintster	2
97	Not_Insom	2
97	toos1esl1de	2
97	LordSpeed37	2
97	PabloGonza02	2
97	Mythic1130	2
97	starbits140	2
97	Luigipunch989	2
97	RadarHz	2
97	momis24	2
121	_Huge_Male_	1
121	Cowison	1
121	dimondking777	1
121	__lizi	1
121	HollieDaNugget	1
121	RebelAndroid	1
121	Prismyst	1
121	ashetrays	1
121	virtual_acid	1
121	corvidpartyfor6	1
121	TheDiamondCG	1
121	mwrty	1
121	PegLegPete93	1
121	mimbo1211	1
121	Windo_licker	1
121	MyNameIsJobo	1
121	corpsecity	1
121	AlexStrange	1
121	Onennon	1
121	Kynigito	1
121	AlexxO_o	1
121	parodypatient	1
121	Inbefour	1
121	DarkS0L	1
121	JESS_THE_RERE	1
121	MyNameIsDakar	1
121	MightyWertu	1
121	Blaiku	1
121	THEKINGLyric10	1
121	Spacewardharpy7	1
121	layabout100	1
121	07shiny	1
121	SvenskaHugo	1
121	Skippeh	1
121	Kateesaur	1
121	00000000-0000-0000-0009-01ff0c3e5e4f	1
