rank	username	minecraft:crafted/minecraft:minecart
1	eitanzaki	1778
2	noam464	1234
3	T045RTY	1098
4	thewindmillman	1028
5	HellsSponge	916
6	Di_infiri	609
7	Spacewardharpy7	527
8	WyngGoy	276
9	PigDab	274
10	beeperbeeper5	214
11	Smoke____	207
12	Groundler	199
13	Werbe	179
13	AssEatrAndLicker	179
13	YungMaki	179
16	Skylord_Luke	161
17	Mahoose	154
17	thescout7	154
19	Hyp3rion_	140
20	2blox	136
21	oxfordschool	121
22	Jackattack53	117
23	_Virify_	107
24	Nycteus_	104
25	claivin	94
26	Blaiku	89
27	JESS_THE_RERE	86
28	joethahobo	83
29	PlasticOtari	82
30	Dedalus36	73
31	Frozil12	69
32	CollinMH06	67
32	jnp_gaming	67
34	DanTheBuilderino	66
34	MightyWertu	66
36	EcksD	54
37	EMC_	53
38	Soplight	52
38	fffMike	52
40	Historical_Sand	51
40	emrekn	51
40	sebastiensaborio	51
43	Ezekson	50
44	pintsizedrogue	48
45	lillips	46
46	El_Jalapeno	45
46	Racengan	45
48	FishyBoy3811	43
49	Inbefour	42
50	TheSeismicDuck	40
51	Hermanni__	39
52	NotMeanttoChange	38
52	Kakolbus	38
52	Leyna3	38
52	FreddyFart	38
56	gcaisawesome	37
56	Lord_Jord	37
58	gabriels543	36
59	MilleGrug	34
60	Chromary	33
60	Bumpy419	33
60	Sral7	33
63	Rasmanden	32
63	PortlyPete69	32
63	vandmanden	32
66	MattieHD	31
67	__tomato	30
68	benediktine1	29
68	FelixPSY375	29
70	Kyrum2169	27
71	TechnoNinja64	26
72	TheThomas69	25
72	ProfessorBee	25
72	eviltunix	25
72	MyNameIsJobo	25
72	Rumpletaezer	25
72	Snowflowe	25
78	AngalexikCZ	24
78	Quotary	24
80	KingMatthew506	23
81	MinttyFressh	22
81	TheShyPig	22
81	Freak_Genius	22
84	Jovaphobic	21
84	_NieToksikpl_	21
84	Nicky19	21
84	Blu3beast	21
84	SkateboardR6	21
84	Dusk_95	21
84	KG1999	21
91	q_wq	19
91	Fullut	19
91	Akoot_	19
91	censorsheep	19
91	ayamefag	19
91	Nicserso	19
97	sp00ky_ghost977	18
98	Wooptey	17
98	Marbz_	17
98	Arceus1975	17
98	obzii	17
102	noodlepack	16
102	mwrty	16
102	Rebytre	16
102	07shiny	16
106	Onennon	15
106	Hisiste	15
106	Factoroni	15
106	stavgod	15
110	Comma__	14
110	12Magner05	14
110	Sky_light_KING	14
110	MustaLoordi	14
114	Groovy_MoonBird	13
114	soundad	13
114	Merv__	13
114	livingdaydreams	13
114	ivorico	13
114	mariominejedi	13
120	bloodbiter	12
120	EveryonesUncle	12
120	lordpipe	12
120	pixelviolin	12
120	Sheldor097	12
120	mawileite	12
126	awesomeoneme	11
126	Awyrlas	11
126	xxPipperDipperxx	11
126	audiocracked	11
126	The_slideV3	11
126	BumbleBeever	11
126	IAmTheWalrus910	11
133	RebelAndroid	10
133	Jahara	10
133	M_Patata	10
133	Typadopoulos	10
133	Warlord324	10
133	kyouma777	10
133	Njensen7	10
140	Kirrow	9
140	Soap_Bender	9
140	MasterNueve	9
140	FishisTTV	9
144	diamondgolem35	8
144	Xalithia	8
144	Ecplosive	8
144	Hiryu27	8
144	Deathkob	8
149	Drlzyy	7
149	I_Am_Mushkin	7
149	Hyugo	7
149	ImpavidArcher	7
149	Franco093	7
149	m_be9	7
149	kekhon	7
149	whoaluv	7
149	GravitySaint	7
149	Barlycorn	7
149	Leithz6	7
149	Eraxa	7
149	Shin69	7
149	Kowcio_	7
149	Skippeh	7
149	Jordan_R	7
165	Bandito_Roamer	6
165	PhantomsGhost_	6
165	CoffeeNoir	6
165	Malorn_Aetherius	6
165	TheSecondLord	6
165	Voxin2K	6
165	chipklip	6
165	DemTechAlpha	6
165	Quincannon	6
165	EfficientC52	6
165	Xclax101	6
165	Soul_Atreus	6
165	SammiWolfGirl	6
165	Zoeyfortnite	6
179	Cowison	5
179	KarlKaek	5
179	SaucyDark	5
179	Flores991	5
179	Rox_The_Box	5
179	Ssor69	5
179	FirsTimeGamingTV	5
179	Rich_Kat	5
179	SellyZ	5
179	theonlymagikarp	5
179	CruncyIsTaken	5
179	fred870d	5
179	CaptainAvenger7	5
179	sufjanlover	5
179	1442	5
179	Razzgriz	5
179	Omar_Alone	5
179	anbbang	5
179	Legendosh	5
179	UrbanPlanner1978	5
199	teslawolf38	4
199	chimpmunker	4
199	bigstankyy	4
199	2Stout	4
199	Skomo	4
199	cedric72	4
199	MonitorLizards	4
199	KnightmareD	4
199	DTwenty	4
199	NameGenerat0r	4
199	cog	4
199	SingedBread	4
199	radioactv_jelly	4
199	TheDumbHuman	4
199	GlitchyPlate810	4
199	alderban107	4
199	Enderslayerxz3	4
199	HesDemonPants	4
199	Powowowow	4
218	elicobnoah	3
218	AuroraValkyrie	3
218	6king6colt6	3
218	Sabby65	3
218	Tolhart	3
218	H72l9w	3
218	rarrq	3
218	Vizzoid	3
218	picardred	3
218	InfernalMound	3
218	Blackberry1310	3
218	Frxnkz	3
218	Cortexia	3
218	_Nuf	3
218	slkiey	3
218	NotTrixi	3
218	LotusProject	3
218	hcb238	3
