rank	username	minecraft:crafted/minecraft:crimson_trapdoor
1	beeperbeeper5	1370
2	thewindmillman	780
3	Smoke____	688
4	ShedJr_	286
5	12Magner05	280
6	Fullut	204
7	Marbz_	192
8	Enderslayerxz3	176
9	PlasticOtari	172
10	Winklepicker279	158
11	Steelynan	136
12	eitanzaki	128
13	EveryonesUncle	96
14	PigDab	88
15	anbbang	86
15	Legendosh	86
17	noam464	78
18	RebelAndroid	74
19	Freak_Genius	72
19	Luigipunch989	72
21	Lord_Jord	56
22	Spacewardharpy7	46
22	Optiprimus	46
24	Mahoose	42
25	Rebytre	36
25	SvenskaHugo	36
27	jnp_gaming	32
28	kekhon	30
29	TheSecondLord	24
30	JitteryJared2	22
30	brofrickcheaters	22
32	500am	20
32	Jiminie	20
32	oxfordschool	20
35	egglapras	18
36	Alteriity	16
37	Werbe	12
37	MyNameIsDakar	12
37	fluddd	12
40	soundad	10
40	hm947	10
40	rarrq	10
43	HellsSponge	9
44	ToastedGamingYT	8
44	LexMakesHistory	8
44	Eon_57	8
47	pintsizedrogue	6
47	mobunni	6
49	Mr_Byzantine	4
49	Chromary	4
49	Hyp3rion_	4
49	djancak	4
53	_Virify_	2
53	Merv__	2
53	Hpdinosaur	2
53	Blackberry1310	2
53	Awyrlas	2
53	Snowflowe	2
53	Frozil12	2
53	Blaiku	2
53	SingedBread	2
53	Ze_BaronKrigler	2
53	KG1999	2
53	MissCeleste7	2
