rank	username	minecraft:crafted/minecraft:vex_armor_trim_smithing_template
1	Mattesco	230
2	Lez_	62
3	beeperbeeper5	12
4	Enderxz3	10
5	Apollo_993	8
5	skitzxo	8
7	MattieHD	6
7	Secret_Canary	6
7	Samificator	6
10	fragrantmonke444	4
10	Kowcio_	4
10	Jimb0nat0r	4
13	royal_2	2
13	noam464	2
13	Jackattack53	2
13	Galactic_Badger	2
13	oscminus	2
13	Manaateee	2
13	StarCookiees_	2
13	Yamdalorian	2
