rank	username	minecraft:crafted/minecraft:cyan_glazed_terracotta
1	QuiCreans	896
2	Arceus1975	336
3	Lutres_	291
4	Yamdalorian	264
5	ImpavidArcher	204
6	fragrantmonke444	192
7	lordpipe	188
8	LeauVox4921	128
9	Hyp3rion_	108
10	luseis	103
11	Jackattack53	84
12	Blaiku	64
13	Krowuss	48
14	EMC_	36
14	Mahoose	36
14	joethahobo	36
14	oscminus	36
18	pixelviolin	33
19	rarrq	26
20	Mr_Byzantine	24
20	Kowcio_	24
20	Pumpkin_P_Patch	24
20	hermmm_	24
24	Elastiq	19
25	himak1	12
25	Werbe	12
27	Inbefour	8
27	DemTechAlpha	8
27	StinkyDiplomat	8
30	noam464	7
31	Eraxa	3
32	beeperbeeper5	2
33	Bandito_Roamer	1
33	ItsDeltaMC	1
