rank	username	minecraft:crafted/minecraft:cracked_nether_bricks
1	YungMaki	125
2	TheSecondLord	59
3	mobunni	10
4	burbankbuilder28	7
5	beeperbeeper5	2
6	kekhon	1
6	Kubelz	1
