rank	username	minecraft:crafted/minecraft:crimson_door
1	noam464	192
2	Spacewardharpy7	129
3	eitanzaki	57
3	beeperbeeper5	57
5	Optiprimus	42
6	Lez_	36
7	kekhon	21
8	ShedJr_	18
9	ConnorDanky_	12
9	PlasticOtari	12
9	AdmiralSmoke	12
12	Manaateee	9
12	Legendosh	9
14	HellsSponge	8
15	pintsizedrogue	6
15	Mahoose	6
15	r123moore	6
15	Hyp3rion_	6
15	luseis	6
15	djancak	6
15	jnp_gaming	6
22	Luigipunch989	5
23	k_ce	3
23	Mr_Byzantine	3
23	Hpdinosaur	3
23	RebelAndroid	3
23	CliffEmAll	3
23	bloodbiter	3
23	12Magner05	3
23	mwrty	3
23	lorpus	3
23	shadowthemonkey	3
23	Marbz_	3
23	Jonafrog99	3
23	thebaddruid	3
23	Billious	3
23	Lord_Jord	3
23	Lutres_	3
23	Dakar_	3
23	weabis	3
23	MAns_44	3
23	kyouma777	3
23	pixelviolin	3
23	Soplight	3
23	SammiWolfGirl	3
23	fffMike	3
23	Steelynan	3
23	Kubeusz2010	3
23	mobunni	3
23	Enderxz3	3
