rank	username	minecraft:crafted/minecraft:wooden_hoe
1	rarrq	62
2	beeperbeeper5	30
2	Racengan	30
2	MovingFish7	30
5	YungMaki	26
6	AdmiralSmoke	15
7	Spacewardharpy7	14
8	_stets	13
9	Groovy_MoonBird	10
10	Lord_Jord	7
10	THEKINGLyric10	7
10	xolstoi	7
13	legal_tax_evader	6
13	Soplight	6
15	eitanzaki	5
15	set67	5
15	EveryonesUncle	5
18	Mr_Byzantine	4
18	TheShyPig	4
18	luseis	4
18	FreakGenius	4
18	Warlord324	4
18	lordpipe	4
24	I_Am_Mushkin	3
24	Jackster03	3
24	Sleepy_Time_	3
24	DarkFisto	3
24	Fullut	3
24	benediktine1	3
24	Di_infiri	3
24	Jackattack53	3
24	Fast_Turtle	3
24	Onennon	3
24	Leyna3	3
24	IamCL4SSY	3
24	Blu3beast	3
24	Pickel_Lord	3
24	IdeallyGrey	3
24	Kowcio_	3
24	djancak	3
24	SammiWolfGirl	3
24	Enderxz3	3
24	Goat_Man512	3
44	ExtraDumb	2
44	Mahoose	2
44	Lez_	2
44	Mimiir345	2
44	Malorn_Aetherius	2
44	shdesolt	2
44	bloodbiter	2
44	wiqor	2
44	sandmire	2
44	xxPipperDipperxx	2
44	smarticuno	2
44	SHAOBADMAN	2
44	M_Patata	2
44	PeteO1995	2
44	SuperPooch06	2
44	Hiryu27	2
44	GooseWithin	2
44	ReSynced	2
44	DTwenty	2
44	aldplaysmc	2
44	Dakar_	2
44	Tobias0113	2
44	Avocadogerms	2
44	El_Jalapeno	2
44	BumbleBeever	2
44	Typadopoulos	2
44	MasterNueve	2
44	LordSpeed37	2
44	07shiny	2
44	Celeste_121	2
44	Legendosh	2
44	jnp_gaming	2
44	calamariclam_I	2
44	DkansK	2
44	FishisTTV	2
79	Louiis123	1
79	Jovaphobic	1
79	pintsizedrogue	1
79	duelcard	1
79	jjettii	1
79	SyK7	1
79	_Huge_Male_	1
79	PhantomsGhost_	1
79	PizzaJake	1
79	Napoleonpancake	1
79	TrNrGhost	1
79	Merv__	1
79	teslawolf38	1
79	milkedit	1
79	Nucket	1
79	Foof13	1
79	Ilinca_Io	1
79	EMC_	1
79	Frozil20	1
79	bigstankyy	1
79	ImpavidArcher	1
79	CryoInferno_	1
79	__lizi	1
79	AES784	1
79	RebelAndroid	1
79	Franco093	1
79	KomputerDude	1
79	CoffeeNoir	1
79	Kuragari_	1
79	ivorico	1
79	Simon_Lowell	1
79	actuallysadie	1
79	Myszoaz	1
79	ITDV	1
79	joethahobo	1
79	Historical_Sand	1
79	ccwildfire1	1
79	Whiterooster001	1
79	FirsTimeGamingTV	1
79	heckface	1
79	Ozixar	1
79	Blackberry1310	1
79	xPixelRainx	1
79	Otto_chan	1
79	c1ttyk4t	1
79	TheSecondLord	1
79	firesgal3116	1
79	Dnulgreb	1
79	o0z	1
79	Cortexia	1
79	ProfessorBee	1
79	CthulhusBodypilo	1
79	Nisanth	1
79	Nach0Bear	1
79	UnderKat	1
79	Mariopreeet	1
79	Motsaro	1
79	Zenlou	1
79	Cerbric	1
79	hcb238	1
79	Covalents	1
79	ItzYaBoiPicard	1
79	Touched_Bread	1
79	noam464	1
79	ABitOddish	1
79	XboxPanda	1
79	UncleDanDan	1
79	Avrelion	1
79	BlueZabu	1
79	Crasswolf	1
79	xFaiithyX	1
79	BigMoneyH	1
79	Ristebraaten	1
79	MyNameIsJobo	1
79	Norrhede	1
79	thewindmillman	1
79	Hyp3rion_	1
79	AnnieBathory	1
79	impossibleteapot	1
79	SirPiccardo	1
79	CrateOfBoxes	1
79	Parcc	1
79	KillerNekoRain	1
79	Loooooc	1
79	Bumpy419	1
79	oscminus	1
79	Skylord_Luke	1
79	Felenov	1
79	Werbe	1
79	Btabtab	1
79	bee_gorl	1
79	DeeDeeThonk	1
79	AlexxO_o	1
79	Invisie	1
79	LuceImaginary	1
79	CaptainAvenger7	1
79	Cattoh	1
79	ougstur	1
79	Hail_the_wombat	1
79	Baron_Belial	1
79	Wowful	1
79	LibertyMutual	1
79	gustarlep	1
79	masskedman	1
79	Lord_Zacler	1
79	Gryglu583	1
79	JoeSaysBingBong	1
79	kiluaemc	1
79	Russiancat1	1
79	privatemeekly	1
79	rotten_mango	1
79	Shoutur1	1
79	lillips	1
79	QuacksonThe3rd	1
79	JESS_THE_RERE	1
79	HellsSponge	1
79	claivin	1
79	MAns_44	1
79	Methalox1	1
79	DukBob	1
79	Promsiel	1
79	fluddd	1
79	PixelatedBoss	1
79	SingedBread	1
79	LokisCharredFace	1
79	TheRoboSock	1
79	markaus77	1
79	Vegvisir	1
79	Yoaty	1
79	MentheMan09	1
79	mihimihimihi	1
79	monky_irl	1
79	Smiguli_	1
79	Lord_Doob	1
79	IAmTheWalrus910	1
79	LetsDoItLive	1
79	bothan13	1
79	LeadenKey	1
79	Kura2218	1
79	Corran_Dahgus	1
79	BlankityMcBlank	1
79	Segotep999	1
79	starbits140	1
79	SSytex_X	1
79	Spenduh	1
79	lcvezra	1
79	Nekomin0	1
79	non089	1
79	PortlyPete69	1
79	SpicyDuckMan	1
79	Drawgirl	1
79	gnyW	1
79	Nargotah	1
79	monolu	1
79	Devouching	1
79	FedirSpectator	1
79	switch1e	1
79	BreadBacon	1
79	little_dUki	1
79	momis24	1
79	UrbanPlanningEx	1
79	2blox_	1
79	TechnoNinja64	1
79	PlasticOtari	1
79	Rahikeru	1
79	ThatBurritoTh0	1
79	h2p_emrld	1
79	00000000-0000-0000-0009-01fa3caf2694	1
