rank	username	minecraft:crafted/minecraft:stone_bricks
1	HellsSponge	465127
2	beeperbeeper5	140362
3	YungMaki	125784
4	Frozil12	118093
5	Skylord_Luke	106254
6	Skippeh	103112
7	Smoke____	97971
8	joethahobo	96352
9	TheShyPig	91788
10	Werbe	74392
10	AssEatrAndLicker	74392
12	Ezekson	58927
13	awesomeoneme	58446
14	EveryonesUncle	54062
15	burbankbuilder28	43436
16	PigDab	42112
17	WyngGoy	41468
18	Kakolbus	31088
19	ApophisNova	29748
19	MyNamaSheff	29748
21	Incinere	29732
22	Onennon	28084
23	gcaisawesome	27244
24	Shogunite	26220
25	_Virify_	23690
26	Zythose	23104
27	TheSecondLord	22844
28	_Dean_123	20858
29	El_Jalapeno	20628
30	MakeHistory157	20012
31	Cowison	19512
32	TheThomas69	16256
33	RobotMinion101	15044
34	Jovaphobic	14956
35	TheSeismicDuck	14912
36	rarrq	14250
37	Swexti	13708
38	noam464	13648
39	r123moore	13047
40	Inchef	12880
41	ROY4LE	12854
42	Di_infiri	12816
43	Bumpy419	12808
44	selectrix	12800
45	SlayerCrypto	12576
46	Jackattack53	11984
47	fffMike	11868
48	12Magner05	11660
49	Zoeyfortnite	11458
50	EcksD	11276
51	Blu3beast	11260
52	Warlord324	11132
53	PhantomsGhost_	10776
54	Sral7	10572
55	NoChumpChange	9929
56	loveseeker	9712
57	CrateOfBoxes	9708
58	MyNameIsJobo	9676
59	_Karmaa	9216
60	crying_wolf_13	9040
61	Racengan	9039
62	Xclax101	8956
63	_Nuf	8840
64	MattieHD	8656
65	Rumpletaezer	8416
66	lcvezra	8404
67	Groundler	8364
68	obzii	8328
69	UncreativeArtist	8155
70	Fuhrer_Teemo	7984
71	jcool7	7840
72	Legendosh	7665
73	censorsheep	7496
74	lordpipe	7488
75	EcksDofficial	7480
76	Barlycorn	7252
77	TooManyDuck	7236
78	Zaridey	7232
79	MissCeleste7	7132
80	Chromary	7088
81	Akoot_	6976
82	chipklip	6928
83	Maenara	6840
84	set67	6745
85	mwrty	6624
86	07shiny	6514
87	Spacewardharpy7	6448
88	DTwenty	6282
89	Dedalus36	6256
90	zorin123	6188
91	XboxPanda	6156
92	Hyp3rion_	6048
93	Eraxa	6028
94	VentiHilton	5848
95	Lord_Jord	5734
96	Malorn_Aetherius	5660
97	thescout7	5580
98	madderfall	5546
99	xxPipperDipperxx	5407
100	eitanzaki	5380
101	Arceus1975	5323
102	MightyWertu	5220
103	alderban107	5044
104	Spenduh	5020
105	Kowcio_	4886
106	Sheldor097	4756
107	LAVA129	4560
108	Kubelz	4521
109	SammiWolfGirl	4483
110	fred870d	4460
111	The_Quack_Dealer	4451
112	__tomato	4388
113	The_slideV3	4364
114	Fildyr	4352
115	EMC_	4324
116	Soplight	4220
117	Mahoose	4208
118	teslawolf38	4180
119	MeetTheWollo	4128
120	_NieToksikpl_	4116
121	H72l9w	4096
122	Typadopoulos	3956
123	ssleepless	3940
124	Xalithia	3911
125	kekhon	3884
126	jacxhadow	3875
127	Winklepicker279	3826
128	Kamflame10	3824
128	UrbanPlanner1978	3824
130	Inbefour	3800
131	Wolverine4302	3744
132	DanTheBuilderino	3672
133	LordSpeed37	3612
134	6king6colt6	3602
135	hcb238	3588
135	Stiar	3588
137	ProfessorBee	3468
138	thewindmillman	3440
139	FirsTimeGamingTV	3400
140	Smiguli_	3364
141	JohnPrice	3288
142	Euclidoris	3260
143	Hiryu27	3248
144	SkateboardR6	3186
145	diggydog67	3116
146	Merv__	3104
147	Mr_Byzantine	3008
148	_TCARREIRA_	2986
149	SoftSix	2976
150	SvenskaHugo	2936
151	AltnumberF4	2900
152	Historical_Sand	2796
153	Hoid_the_Roamer	2784
154	RebelAndroid	2780
155	MixerDixer	2756
156	XxCookiequeenxX	2736
157	KartivGal	2720
158	cringenaynaybaby	2712
159	SellyZ	2684
160	_stets	2672
161	Quotary	2652
162	RefluxRatio	2572
163	diamondgolem35	2568
164	Freak_Genius	2564
165	Froste131	2560
166	CoffeeNoir	2552
167	tobinwilliams	2528
168	MyNameIsDakar	2504
169	OG_Songsee	2500
170	Fizznut909	2488
171	Cortexia	2432
172	Fullut	2396
173	Drlzyy	2376
174	Cocoamallows	2368
