rank	username	minecraft:crafted/minecraft:black_shulker_box
1	Hyp3rion_	644
2	thewindmillman	425
3	jnp_gaming	186
4	Jackattack53	132
5	Lez_	89
6	Jimb0nat0r	55
7	pintsizedrogue	38
8	kekhon	37
9	beeperbeeper5	33
10	Enderxz3	27
11	mihimihimihi	22
12	500am	19
12	Kowcio_	19
12	EcksD	19
15	Apollo_993	17
16	__tomato	16
17	lordpipe	14
18	TheSecondLord	13
18	Skylord_Luke	13
20	Manaateee	12
21	RoskobiOne	11
21	12Magner05	11
21	Kyrum2169	11
24	Akoot_	10
24	Eraxa	10
26	Kamflame	9
26	HellsSponge	9
26	YungMaki	9
26	skitzxo	9
30	Segotep999	8
30	PortlyPete69	8
32	PlasticOtari	7
33	emrekn	6
33	hanaryheatwave	6
33	lizardfightclub	6
33	luseis	6
33	Deathkob	6
38	MattieHD	5
38	fade_emerge78823	5
38	noam464	5
38	IamCL4SSY	5
38	Spacewardharpy7	5
38	sp00ky_ghost977	5
44	mwrty	4
44	oscminus	4
44	MAns_44	4
44	pretty_pink_reno	4
44	Hisiste	4
44	Spenduh	4
44	ConnorDanky_	4
51	PazinGaming	3
51	Frozil20	3
51	Huwulling	3
51	MoistMicrowave	3
51	Mahoose	3
51	MSK__	3
51	m_be9	3
51	catandmoose	3
51	corvidpartyfor6	3
51	xxPipperDipperxx	3
51	r123moore	3
51	eiC_	3
51	shadowthemonkey	3
51	yheece	3
51	Rumpletaezer	3
51	King_Pancake1	3
51	ApophisNova	3
51	TheShyPig	3
51	xDraggin	3
51	masskedman	3
51	_Karmaa	3
51	xzvu	3
51	SammiWolfGirl	3
51	TheBananaKat	3
51	MyNamaSheff	3
51	Nicserso	3
51	Yamdalorian	3
78	Groovy_MoonBird	2
78	Merv__	2
78	teslawolf38	2
78	Iagoku	2
78	rarrq	2
78	Sleepy_Evelyn	2
78	lorpus	2
78	Inchef	2
78	gcaisawesome	2
78	Zaridey	2
78	Ecplosive	2
78	CollinMH06	2
78	Chromary	2
78	Snowflowe	2
78	Krowuss	2
78	OreTheBear	2
78	Bumpy419	2
78	claivin	2
78	StinkyDiplomat	2
78	Xclax101	2
78	MightyWertu	2
78	Racengan	2
78	TheTommyGun63	2
78	WyngGoy	2
78	pixelviolin	2
78	tsitrawhy	2
78	KingMatthew506	2
78	Kubeusz2010	2
106	Jovaphobic	1
106	Bandito_Roamer	1
106	Mr_Byzantine	1
106	Crowvens	1
106	CLG_Kata	1
106	PhantomsGhost_	1
106	BadenStayFly	1
106	AuroraValkyrie	1
106	6king6colt6	1
106	Houstonion	1
106	Ryan_GEMS	1
106	ExtraDumb	1
106	ssleepless	1
106	ImpavidArcher	1
106	TooManyDuck	1
106	Hpdinosaur	1
106	nattybears	1
106	T045RTY	1
106	Batman922	1
106	TAKrules	1
106	NinjaKnifeKill	1
106	Myszoaz	1
106	joethahobo	1
106	skroobiez	1
106	Gregward_Smith	1
106	Historical_Sand	1
106	Ssor69	1
106	Euclidoris	1
106	titanlax	1
106	xPixelRainx	1
106	jushykins	1
106	Megarboh	1
106	SteveCraftBlocks	1
106	TheDiamondCG	1
106	Fullut	1
106	Kkanot	1
106	set67	1
106	Awyrlas	1
106	Motsaro	1
106	ROY4LE	1
106	Covalents	1
106	prizm_	1
106	mariominejedi	1
106	Marbz_	1
106	eli_tschki	1
106	burbankbuilder28	1
106	Eczbox	1
106	pappaberg	1
106	Hiryu27	1
106	Voxin2K	1
106	PigDab	1
106	cedric72	1
106	Shortest_Man	1
106	Samificator	1
106	Lord_Jord	1
106	Tropiicant	1
106	Hahaa_0	1
106	TheSeismicDuck	1
106	audiocracked	1
106	Inbefour	1
106	DTwenty	1
106	EveryonesUncle	1
106	emreknugrlu	1
106	Tyrannosplart	1
106	DemTechAlpha	1
106	Soap_Bender	1
106	1442	1
106	NameGenerat0r	1
106	El_Jalapeno	1
106	Blu3beast	1
106	blackeemperor	1
106	Gus2005	1
106	fluddd	1
106	Blaiku	1
106	QuesoCrusaderIII	1
106	Warlord324	1
106	MovingFish7	1
106	Airem_Core	1
106	geekbird	1
106	iSammael	1
106	OG_Songsee	1
106	Razzgriz	1
106	stavgod	1
106	TheEnderMan548	1
106	_Mythic____	1
106	djancak	1
106	Soplight	1
106	_i_ERROR_i_	1
106	Dogcorn69420	1
106	fffMike	1
106	Njensen7	1
106	Eczbek	1
106	Skippeh	1
106	taengoos	1
106	Ezekson	1
106	FelixPSY375	1
106	little_dUki	1
106	HesDemonPants	1
106	2blox_	1
106	calamariclam_I	1
106	FishisTTV	1
106	diggydog67	1
