rank	username	minecraft:crafted/minecraft:bamboo_fence
1	Hoid_the_Roamer	393
2	k_ce	369
3	Mr_Byzantine	282
4	_witch_craft_	270
5	lpinfinity	247
6	Mattesco	180
7	Buuck_	177
8	CacheOut	159
9	Fullbit_	132
10	BTL_craft	123
11	Bambuino	81
12	robonya_	75
13	Mr_Sun15	60
14	SpacesickPrism	51
15	lordpipe	48
16	Merv__	30
16	milltesco	30
18	Jimb0nat0r	27
19	Werbe	24
20	TheSecondLord	21
20	Enderxz3	21
22	SteadyFeather77	15
22	cutelilreno	15
24	PazinGaming	12
24	Paul_Katan	12
26	FiguraDei	6
27	Synthoum	3
27	pixelviolin	3
27	Spaghettatron	3
27	Yamdalorian	3
