rank	username	minecraft:crafted/minecraft:granite_slab
1	Steelynan	3682
2	Mr_Byzantine	1002
3	Yamdalorian	610
4	EMC_	384
5	Frozil20	329
6	eitanzaki	326
7	Crizma_	258
8	bruh072	186
9	TheShyPig	168
10	PortlyPete69	144
11	titanlax	132
11	NameGenerat0r	132
11	radioactv_jelly	132
14	valkam13	126
14	SexcMf	126
16	Mahoose	110
17	DanTheBuilderino	108
18	Bumpy419	84
19	Felenov	78
20	Merv__	72
20	ImpavidArcher	72
22	PazinGaming	60
22	andy_rex	60
22	Ajax6	60
25	Vizzoid	48
26	fragrantmonke444	42
26	luseis	42
26	SingedBread	42
29	bigstankyy	36
29	Meatlaugh	36
29	Spacewardharpy7	36
32	GLLogan2	30
32	Gzrdy	30
32	NomadicRobin_	30
32	tartanboy	30
36	Enderxz3	28
37	joethahobo	24
37	Racengan	24
39	CoffeeNoir	18
39	Werbe	18
39	Nicserso	18
39	FishisTTV	18
43	skroobiez	12
43	TerraVl	12
43	PegLegPete93	12
43	groofles	12
43	Blu3beast	12
48	R1CHY2K	10
48	skitzxo	10
50	jewbacaman	9
51	Kowcio_	8
52	Groovy_MoonBird	6
52	NatalieTW	6
52	q_wq	6
52	Hpdinosaur	6
52	Malorn_Aetherius	6
52	BobDeBouwer1337	6
52	kekhon	6
52	Inchef	6
52	SUSUGAM	6
52	ROY4LE	6
52	gcaisawesome	6
52	91stCataclysm	6
52	Doom_melon	6
52	AspenLightVT	6
52	HellsSponge	6
52	El_Jalapeno	6
52	pretty_pink_reno	6
52	TheKingK_	6
52	vandmanden	6
71	lorywithay	4
71	Pumpkin_P_Patch	4
71	Jimb0nat0r	4
74	beeperbeeper5	2
74	pixelviolin	2
