rank	username	minecraft:crafted/minecraft:waxed_copper_block
1	Mattesco	17703
2	PlasticOtari	2160
3	oscminus	1728
4	TheSecondLord	1008
5	Lez_	951
6	Jimb0nat0r	896
7	12Magner05	613
8	Touched_Bread	491
9	Huwulling	388
10	LeauVox4921	257
11	fragrantmonke444	256
12	Manaateee	234
13	crashomon	192
14	EMC_	188
15	pretty_pink_reno	161
16	Solar_Power	143
17	bl1ss0	94
18	beeperbeeper5	62
19	Krowuss	57
20	Steelynan	49
21	Spacewardharpy7	26
22	TheWickedBird	17
23	Reneedium	4
24	pixelviolin	2
25	ScootOfBoot	1
25	TheKingK_	1
