rank	username	minecraft:crafted/minecraft:tipped_arrow
1	PigDab	3820
2	sp00ky_ghost977	3778
3	KingMatthew506	2745
4	Hyp3rion_	2248
5	EcksD	2178
6	Inchef	1812
7	noam464	1100
8	Drlzyy	969
9	Di_infiri	896
10	Blaiku	780
11	oxfordschool	635
12	beeperbeeper5	580
13	Enderslayerxz3	360
14	SingedBread	304
15	Spacewardharpy7	300
16	Maenara	216
17	stellarjay	192
18	_Virify_	180
19	Eraxa	170
20	Akoot_	168
21	eitanzaki	138
22	Snowflowe	120
22	fluddd	120
22	pixelviolin	120
22	jnp_gaming	120
26	Chromary	112
27	Tolhart	96
27	stavgod	96
27	stahouo	96
30	Historical_Sand	80
31	pintsizedrogue	72
31	TheSecondLord	72
31	claivin	72
34	Inbefour	64
34	Soplight	64
36	PhantomsGhost_	56
37	joethahobo	55
38	Awyrlas	48
39	T045RTY	40
40	audiocracked	32
41	Kubeusz2010	25
42	kekhon	24
42	Wowful	24
44	12Magner05	16
45	chipklip	15
45	geekbird	15
47	Sleek_Storm_721	10
48	RebelAndroid	5
48	07shiny	5
