rank	username	minecraft:crafted/minecraft:firework_star
1	beeperbeeper5	22348
2	Jackattack53	5688
3	TheSecondLord	3842
4	Smoke____	2917
5	noam464	2304
5	HesDemonPants	2304
7	jnp_gaming	2087
8	ConnorDanky_	1603
9	Mahoose	1600
10	Jimb0nat0r	1422
11	EcksD	1410
12	lordpipe	1152
13	Frozil20	1023
14	Apollo_993	974
15	emrekn	960
16	lillips	896
17	_Virify_	841
18	SuperPooch06	781
19	Ezekson	724
20	Alteriity	704
21	YungMaki	640
22	Maenara	580
23	MattieHD	528
24	thewindmillman	520
25	_Dean_123	512
26	_Bguette_	465
27	Racengan	448
28	Blackberry1310	407
29	lorpus	395
30	Smashic	384
31	pintsizedrogue	335
32	PhantomsGhost_	324
33	eitanzaki	322
34	ApophisNova	309
34	MyNamaSheff	309
36	chipklip	256
37	Akoot_	234
38	ARandomHedge	192
38	EveryonesUncle	192
40	stellarjay	191
41	teslawolf38	162
42	hm947	160
43	bloodbiter	158
44	xxPipperDipperxx	128
44	CowOfTheNile	128
44	Kubeusz2010	128
47	FreakGenius	96
48	sp00ky_ghost977	88
49	Euclidoris	84
50	PlzNoBM	81
51	mimbo1211	80
52	12Magner05	77
53	RoofTyler	76
54	Snowflowe	72
55	Merv__	68
55	Inchef	68
57	Arceus1975	64
57	Hyp3rion_	64
57	Quaintster	64
57	Dusk_95	64
57	lcvezra	64
57	AltnumberF4	64
63	rarrq	58
63	Btabtab	58
65	Auseawesome	55
66	WET_WET_WET	44
67	himak1	38
67	Soplight	38
69	Groundler	35
70	Fullut	32
70	pixelviolin	32
72	MAns_44	30
73	Da_Boss_Rani	29
74	CarltheCuck	25
75	luseis	21
75	Enderxz3	21
77	Xclax101	19
78	epiksk8erduck	18
79	jacxhadow	16
80	Hpdinosaur	14
81	wiqor	12
82	MrExplorer	9
82	CollinMH06	9
84	Jovaphobic	8
85	Creativebuilder2	7
86	Blu3beast	6
86	JayToe	6
88	Bloo2406	5
89	monky_irl	4
90	KomputerDude	3
90	_TCARREIRA_	3
92	LittleBug562	2
92	thgrocks	2
94	joethahobo	1
94	jushykins	1
94	valiSW	1
94	Azmodan_246	1
94	Lutres_Torane	1
94	_k2x	1
