rank	username	minecraft:crafted/minecraft:loom
1	PlasticOtari	317
2	EveryonesUncle	131
3	PigDab	129
4	TheShyPig	122
5	HellsSponge	118
6	500am	109
7	pintsizedrogue	93
8	beeperbeeper5	90
9	Merv__	75
10	Inchef	73
11	eitanzaki	66
12	ImpavidArcher	65
12	noam464	65
14	lillips	64
15	Legendosh	49
16	Historical_Sand	45
17	ApophisNova	41
17	MyNamaSheff	41
19	eclipseboi	33
19	Zythose	33
21	himak1	29
22	Steelynan	28
23	kekhon	27
24	thescout7	23
24	Kakolbus	23
26	Mahoose	19
26	Freak_Genius	19
28	TheSecondLord	18
28	12Magner05	18
28	M_Patata	18
28	Jiminie	18
28	MasterNueve	18
28	oxfordschool	18
34	TheSeismicDuck	16
35	titanlax	15
36	Onennon	14
37	gcaisawesome	13
37	SvenskaHugo	13
39	The_slideV3	12
39	NameGenerat0r	12
41	Stiar	11
42	jacxhadow	10
43	Hyp3rion_	9
43	Smoke____	9
45	Nicserso	7
46	lcvezra	6
47	Louiis123	5
47	rarrq	5
47	Winklepicker279	5
47	Chromary	5
47	Werbe	5
47	starbits140	5
47	Sral7	5
54	RoskobiOne	4
54	Incinere	4
54	Megarboh	4
54	Fullut	4
54	xxPipperDipperxx	4
54	Kim_Jong_eel	4
54	Cocoamallows	4
54	__tomato	4
54	PortlyPete69	4
54	CalebDHawk	4
54	Ezekson	4
54	jnp_gaming	4
66	Tobinator_007	3
66	Drlzyy	3
66	teslawolf38	3
66	6king6colt6	3
66	Smashic	3
66	r123moore	3
66	Arceus1975	3
66	Snowflowe	3
66	Akoot_	3
66	Racengan	3
66	Spacewardharpy7	3
66	pixelviolin	3
66	Soplight	3
66	Luigipunch989	3
66	anbbang	3
66	YoshikageBites	3
82	Groovy_MoonBird	2
82	Tolhart	2
82	RebelAndroid	2
82	ShedJr_	2
82	Lez_	2
82	Myszoaz	2
82	joethahobo	2
82	Blackberry1310	2
82	bloodbiter	2
82	Awyrlas	2
82	ROY4LE	2
82	loveseeker	2
82	whoaluv	2
82	_Boipl_	2
82	MustardDrinker	2
82	RobotMinion101	2
82	epiksk8erduck	2
82	_naturell	2
82	Lord_Jord	2
82	LexMakesHistory	2
82	DarkS0L	2
82	chipklip	2
82	Darkgon	2
82	claivin	2
82	MAns_44	2
82	El_Jalapeno	2
82	Xclax101	2
82	Th6masss	2
82	ItsDeltaMC	2
82	MakeHistory157	2
82	stavgod	2
82	Eraxa	2
82	Kowcio_	2
82	YungMaki	2
82	UCP_TheKingK	2
82	SSytex_X	2
82	stahouo	2
82	Nekomin0	2
82	_3Stump_	2
82	cichy096	2
82	Enderslayerxz3	2
82	MeetTheWollo	2
82	TechnoNinja64	2
125	rats_life	1
125	Bruh77	1
125	RosaDoesMC	1
125	Jovaphobic	1
125	Bandito_Roamer	1
125	heysushii	1
125	Froste131	1
125	PhantomsGhost_	1
125	MixerDixer	1
125	abramgray	1
125	Cowison	1
125	strongman951753	1
125	Paint	1
125	hollowww	1
125	shineh10	1
125	Yatitay	1
125	Tommhh	1
125	numbra	1
125	Sleek_Storm_721	1
125	I_Am_Mushkin	1
125	Dedalus36	1
125	DinoDoctor_	1
125	SaucyDark	1
125	TooManyDuck	1
125	RatatJuice	1
125	HollieDaNugget	1
125	T045RTY	1
125	youhjjhhhjj	1
125	Natty	1
125	KomputerDude	1
125	Huwulling	1
125	Reamdin	1
125	awesomeoneme	1
125	Simon_Lowell	1
125	Jackster03	1
125	Ao_Ken	1
125	H72l9w	1
125	Swexti	1
125	IWorkAtIkea	1
125	TheMaster972	1
125	Ssor69	1
125	TheFlfthHorseman	1
125	MrMattyPatt	1
125	Euclidoris	1
125	Ozixar	1
125	shdesolt	1
125	Cryptacity	1
125	Comma__	1
125	jushykins	1
125	BobDeBouwer1337	1
125	Chickenchaser2	1
125	m_be9	1
125	Nicky_H225	1
125	MrExplorer	1
125	Ardennes	1
125	MattieHD	1
125	AdvertisingMerc	1
125	ProfessorBee	1
125	CyrusIsTired	1
125	slkiey	1
125	BreadFruggis	1
125	crying_wolf_13	1
125	Kamflame10	1
125	egglapras	1
125	Motsaro	1
125	theonlymagikarp	1
125	Covalents	1
125	HypixelForums	1
125	Touched_Bread	1
125	Kubelz	1
125	TableTim	1
125	toj__	1
125	BigMoneyH	1
125	mariominejedi	1
125	CarltheCuck	1
125	MyNameIsJobo	1
125	Jackattack53	1
125	SuperPooch06	1
125	Rumpletaezer	1
125	thewindmillman	1
125	burbankbuilder28	1
125	killmeiamtraitor	1
125	AnnieBathory	1
125	AlexStrange	1
125	pappaberg	1
125	Rocco_Lane	1
125	Hoid_the_Roamer	1
125	regulator75	1
125	Bumpy419	1
125	Hiryu27	1
125	Skylord_Luke	1
125	ItsAki_	1
125	The11thDoctor	1
125	ooga47	1
125	seramalen	1
125	fred870d	1
125	Kynigito	1
125	Moofyman	1
125	theofiel	1
125	Drewen24	1
125	RodSerlingCringe	1
125	Maenara	1
125	ADEXTV	1
125	AuroraSkies	1
125	Blamphe	1
125	420BreadLizard	1
125	natajimi	1
125	NomadicRobin_	1
125	audiocracked	1
125	gustarbite	1
125	Fuhrer_Teemo	1
125	Deathkob	1
125	rotten_mango	1
125	KlausVonStiglitz	1
125	MinuteMira	1
125	Lutres_Torane	1
125	proxivitoid	1
125	JESS_THE_RERE	1
125	KermitTheKripple	1
125	Fuad_R	1
125	Soap_Bender	1
125	_Karmaa	1
125	Deerfoot	1
125	Blu3beast	1
125	censorsheep	1
125	Frozil12	1
125	Bloo2406	1
125	Steven1282598	1
125	marumochis	1
125	Blaiku	1
125	Groundler	1
125	SingedBread	1
125	Fildyr	1
125	ProfessorDiaper	1
125	Matorz	1
125	Vorlice	1
125	MovingFish7	1
125	Factoroni	1
125	Dusk_95	1
125	CheifJumbo	1
125	WyngGoy	1
125	sp00ky_ghost977	1
125	Ze_BaronKrigler	1
125	Razzgriz	1
125	SexcMf	1
125	Optiprimus	1
125	Kyrum2169	1
125	djancak	1
125	tsitrawhy	1
125	stellarjay	1
125	SammiWolfGirl	1
125	obzii	1
125	xof_on_microwave	1
125	Deguns123	1
125	Moetis	1
125	UltraZombie	1
125	LeeMcGee30	1
125	MilleGrug	1
125	Hermanni__	1
125	Vellu21	1
125	Kubeusz2010	1
125	VentiHilton	1
125	mobunni	1
125	Skippeh	1
125	Apicomplexa	1
125	xorompole	1
125	smogfrog	1
125	AltnumberF4	1
125	momis24	1
125	UrbanPlanner1978	1
125	vandmanden	1
125	Yogscast_Manden	1
125	trexgb	1
125	JayToe	1
125	MelodyGaysharks	1
125	Kateesaur	1
