rank	username	minecraft:crafted/minecraft:birch_trapdoor
1	Spacewardharpy7	2628
2	Smoke____	2076
3	Rasmanden	2030
4	Di_infiri	1206
5	vandmanden	1108
6	sp00ky_ghost977	980
7	Mahoose	978
8	HellsSponge	691
9	lordpipe	586
10	PlzNoBM	548
11	MangoTheFish	432
12	UrbanPlanner1978	348
13	Kakolbus	344
14	mwrty	326
15	TheDankPlatypus	312
16	OtariCharlie	300
17	noam464	288
18	livingdaydreams	276
19	Merv__	262
19	eitanzaki	262
21	gcaisawesome	238
22	mariominejedi	236
23	EveryonesUncle	220
24	Soplight	212
25	_Dean_123	210
26	set67	200
27	hollowww	196
28	PortlyPete69	170
29	Deerfoot	164
30	kekhon	150
30	Werbe	150
30	AssEatrAndLicker	150
33	Groundler	144
34	ShedJr_	142
34	thewindmillman	142
36	joethahobo	138
37	Katsuragi0243218	130
38	yulgur1	128
39	500am	108
39	loveseeker	108
39	TheShyPig	108
42	MinttyFressh	104
43	PhantomsGhost_	92
44	eviltunix	90
45	soundad	88
46	Lord_Jord	80
46	diggydog67	80
48	rarrq	74
49	Arceus1975	68
49	Zoeyfortnite	68
51	Ezekson	66
52	KarlKaek	62
52	Swexti	62
52	beeperbeeper5	62
55	burbankbuilder28	60
56	bee_gorl	54
56	The_slideV3	54
56	YungMaki	54
59	Jackattack53	52
60	RebelAndroid	48
60	r123moore	48
60	Zythose	48
60	Legendosh	48
64	sebastiensaborio	44
65	anbbang	42
65	oxfordschool	42
67	pintsizedrogue	40
67	Simon_Lowell	40
67	Zielo2017PL	40
67	ProfessorDiaper	40
67	jnp_gaming	40
72	CACTUSLAD	38
72	Sral7	38
74	El_Jalapeno	36
75	ImpavidArcher	32
75	NatrixxddxYT	32
75	SuperPooch06	32
75	07shiny	32
79	himak1	30
79	Enderslayerxz3	30
79	Powowowow	30
79	EcksDofficial	30
83	DanTheBuilderino	28
84	WET_WET_WET	26
85	TheThomas69	24
85	thescout7	24
87	TheSecondLord	22
87	UncreativeArtist	22
87	godipose	22
87	Freak_Genius	22
87	Optiprimus	22
87	LeeMcGee30	22
93	Krasnal1337	20
