rank	username	minecraft:crafted/minecraft:netherite_helmet
1	500am	11
2	Hyp3rion_	10
3	Dedalus36	9
4	iSammael	3
5	nataliecool	2
5	hm947	2
5	Alteriity	2
5	12Magner05	2
5	kekhon	2
5	Kkanot	2
5	Marbz_	2
5	Chromary	2
5	Rebytre	2
5	Freak_Genius	2
5	LazySupport00	2
5	monky_irl	2
17	Groovy_MoonBird	1
17	RoskobiOne	1
17	JEWISHBadenBeele	1
17	Drlzyy	1
17	AuroraValkyrie	1
17	EMC_	1
17	6king6colt6	1
17	Sleek_Storm_721	1
17	bigstankyy	1
17	itburb	1
17	_Razar	1
17	tuckerdoodle	1
17	Wooptey	1
17	RebelAndroid	1
17	CoffeeNoir	1
17	NinjaKnifeKill	1
17	MSK__	1
17	NieToksikpl	1
17	CliffEmAll	1
17	Chickenchaser2	1
17	jiggywraps	1
17	MinttyFressh	1
17	MattieHD	1
17	Megarboh	1
17	shyshyannne	1
17	CyrusIsTired	1
17	4774	1
17	Flapjacker687	1
17	egglapras	1
17	Awyrlas	1
17	NotTrixi	1
17	LotusProject	1
17	PegLegPete93	1
17	Inchef	1
17	Xalithia	1
17	__TheNorseMan__	1
17	Covalents	1
17	CharlieButt	1
17	mimbo1211	1
17	TheDankPlatypus	1
17	CollinMH06	1
17	SuperPooch06	1
17	thewindmillman	1
17	burbankbuilder28	1
17	MangoTheFish	1
17	pappaberg	1
17	HAIRYCLOUD626	1
17	ApophisNova	1
17	Afinnity	1
17	SpaggeDR	1
17	KartivGal	1
17	PigDab	1
17	AlexxO_o	1
17	Jonte0599	1
17	SvenskaAlvar	1
17	Myhym	1
17	xo_Marren_xo	1
17	sammidk	1
17	PuFY	1
17	ToastedGamingYT	1
17	Luminad3	1
17	TJawesome09	1
17	Akoot_	1
17	MrQuanQuan	1
17	AuroraSkies	1
17	Wowful	1
17	ogoa	1
17	KnightmareD	1
17	binman420	1
17	Gab4101	1
17	XxCookiequeenxX	1
17	EveryonesUncle	1
17	Jiminie	1
17	Deodorante	1
17	Lutres_Torane	1
17	DarkS0L	1
17	Fuad_R	1
17	HellsSponge	1
17	_Karmaa	1
17	RoBe__	1
17	Quaintster	1
17	EfficientC52	1
17	Not_Insom	1
17	El_Jalapeno	1
17	Nycteus_	1
17	censorsheep	1
17	MightyWertu	1
17	Racengan	1
17	SingedBread	1
17	mihimihimihi	1
17	Airem_Core	1
17	Dusk_95	1
17	ItsDeltaMC	1
17	sp00ky_ghost977	1
17	Ze_BaronKrigler	1
17	Strangemonkey71	1
17	KG1999	1
17	Spenduh	1
17	microcrisp	1
17	non089	1
17	PortlyPete69	1
17	_Yonk_	1
17	GlitchyPlate810	1
17	Njensen7	1
17	Eczbek	1
17	Kubeusz2010	1
17	TheOuterCore	1
17	MissCeleste7	1
17	RadarHz	1
17	MyNamaSheff	1
17	FelixPSY375	1
17	AltnumberF4	1
17	YoshikageBites	1
17	Smoke____	1
