rank	username	minecraft:crafted/minecraft:fermented_spider_eye
1	noam464	2316
2	Jackattack53	640
3	Hyp3rion_	600
4	pintsizedrogue	367
5	joethahobo	239
6	Di_infiri	197
7	Hoid_the_Roamer	191
8	Smoke____	148
9	Jiminie	137
10	kekhon	128
10	Sky_light_KING	128
12	HellsSponge	127
13	EMC_	122
14	beeperbeeper5	120
15	Inchef	107
16	eitanzaki	106
17	DanTheBuilderino	78
18	thewindmillman	75
19	Inbefour	67
20	Lord_Jord	63
21	Paintz	62
21	fred870d	62
23	SingedBread	60
24	chipklip	56
25	Eraxa	54
26	Hisiste	50
26	YungMaki	50
26	__tomato	50
29	ProfessorBee	49
29	Fullut	49
29	Snowflowe	49
32	Historical_Sand	41
32	TheSecondLord	41
34	stellarjay	39
35	RebelAndroid	38
35	Hiryu27	38
35	EveryonesUncle	38
38	fluddd	37
38	pixelviolin	37
40	TechnoNinja64	35
41	Akoot_	34
42	SammiWolfGirl	32
43	Rumpletaezer	30
44	Freak_Genius	28
44	MilleGrug	28
46	m_be9	27
47	Arceus1975	26
48	Spacewardharpy7	25
49	500am	24
49	Zoeyfortnite	24
51	oxfordschool	23
52	Blackberry1310	22
53	Kakolbus	21
54	mwrty	20
55	M_Patata	19
55	claivin	19
55	MasterNueve	19
58	Lutres_Torane	18
59	fr0stss	17
59	bloodbiter	17
59	Blaiku	17
59	djancak	17
59	Luigipunch989	17
64	PhantomsGhost_	16
64	MakeHistory157	16
64	PlasticOtari	16
67	PigDab	15
68	Ezekson	14
69	NotMeanttoChange	13
69	MightyWertu	13
69	Soplight	13
72	awesomeoneme	12
72	12Magner05	12
72	xxPipperDipperxx	12
75	xo_Marren_xo	11
75	AlphaWolfPlaysMC	11
75	_TCARREIRA_	11
78	Drlzyy	10
78	Mahoose	10
78	Maenara	10
81	Chromary	9
81	Hermanni__	9
81	Skippeh	9
81	Powowowow	9
85	Ryker	8
85	CoffeeNoir	8
85	thescout7	8
85	wezzzi	8
85	AuroraSkies	8
85	Racengan	8
91	livingdaydreams	7
91	JESS_THE_RERE	7
93	KomputerDude	6
93	FirsTimeGamingTV	6
93	Awyrlas	6
93	PegLegPete93	6
93	The_slideV3	6
98	Tolhart	5
98	Comma__	5
98	Smashic	5
98	CollinMH06	5
98	Solar_Power	5
98	MAns_44	5
98	Xclax101	5
98	sp00ky_ghost977	5
98	stavgod	5
98	JayToe	5
108	ratglock	4
108	Guillemet	4
108	Kamflame10	4
108	Kynigito	4
108	audiocracked	4
108	EfficientC52	4
108	Kubeusz2010	4
108	Enderslayerxz3	4
108	Legendosh	4
108	diggydog67	4
118	Groovy_MoonBird	3
118	diamondgolem35	3
118	youhjjhhhjj	3
118	rarrq	3
118	MrExplorer	3
118	mariominejedi	3
118	SlayerCrypto	3
118	RobotMinion101	3
118	Onennon	3
118	RodSerlingCringe	3
118	masskedman	3
118	Quaintster	3
118	Blu3beast	3
118	DeGodz4life	3
118	tartanboy	3
133	Froste131	2
133	Merv__	2
133	teslawolf38	2
133	q_wq	2
133	KingFaenor	2
133	Sleek_Storm_721	2
133	ShedJr_	2
133	SoftSix	2
133	slkiey	2
133	egglapras	2
133	Motsaro	2
133	TableTim	2
133	SuperPooch06	2
133	TheShyPig	2
133	TheSeismicDuck	2
133	FreddyFart	2
133	MyNameIsDakar	2
133	DarlaMeow	2
133	Barlycorn	2
133	monky_irl	2
133	Shin69	2
133	Kowcio_	2
133	MineMaster0012	2
133	Fizznut909	2
133	lcvezra	2
133	PortlyPete69	2
133	Dogcorn69420	2
133	MissCeleste7	2
133	EcksD	2
133	smogfrog	2
133	Lowjinx	2
133	HesDemonPants	2
133	The_SlideV5	2
133	WYFYoyo	2
167	Jovaphobic	1
167	Cowison	1
167	Paint	1
167	FujiBS	1
167	openatheclose	1
167	MSK__	1
167	H72l9w	1
167	tramizu	1
167	chlorinex	1
167	Vizzoid	1
167	Euclidoris	1
167	Stynxy	1
167	Malorn_Aetherius	1
167	Nicky_H225	1
167	MattieHD	1
167	zorin123	1
167	BilboBaggins23	1
167	Master_Kol	1
167	himak1	1
167	Mewar	1
167	CharlieButt	1
167	Windo_licker	1
167	whoaluv	1
167	_8man	1
167	andy_rex	1
167	_Boipl_	1
167	Myhym	1
167	theofiel	1
167	TheTrueClipse	1
167	KnightmareD	1
167	DTwenty	1
167	Russiancat1	1
167	drumine	1
167	censorsheep	1
167	Frozil12	1
167	KG1999	1
167	starbits140	1
167	Juh1s	1
167	LeeMcGee30	1
167	TheALV	1
167	laron58	1
167	Quotary	1
167	RadarHz	1
167	BreadBacon	1
167	_AAZAR	1
167	kinas45y5	1
