rank	username	minecraft:crafted/minecraft:magenta_dye
1	thewindmillman	100266
2	hanaryheatwave	21050
3	noam464	13844
4	beeperbeeper5	13765
5	ConnorDanky_	7719
6	joethahobo	5466
7	Yamdalorian	3492
8	Huwulling	2724
9	Marbz_	2280
10	YungMaki	1869
11	Inbefour	1630
12	HellsSponge	1439
13	Di_infiri	1308
14	lordpipe	1222
15	Hyp3rion_	1115
16	EMC_	1009
17	TheShyPig	695
18	Jimb0nat0r	660
19	PlasticOtari	518
20	skitzxo	471
21	Kowcio_	448
22	chipklip	422
23	Steelynan	363
24	Windo_licker	346
25	Rumpletaezer	305
26	Lez_	281
27	Rasmanden	280
28	TheSecondLord	275
29	Ezekson	270
30	Lord_Jord	262
31	DarlaMeow	256
32	TheWickedBird	206
33	crashomon	196
34	luseis	180
35	NotMeanttoChange	176
36	500am	169
37	Spacewardharpy7	154
37	TechnoNinja64	154
39	Maenara	138
40	_k2x	137
41	TheEnderMan548	132
42	jnp_gaming	130
43	emreknugrlu	128
44	ROY4LE	111
45	SuperPooch06	110
46	HAIRYCLOUD626	108
47	PeteO1995	104
48	Njensen7	99
49	MAns_44	94
50	txxskx	90
51	Werbe	88
52	Wooptey	84
53	miramyu	82
54	Merv__	72
55	Inchef	69
56	underscore_2	68
57	Kakolbus	66
57	sp00ky_ghost977	66
59	Snowflowe	64
60	BlancoFlaco	62
60	FishisTTV	62
62	kekhon	58
63	madderfall	56
63	LordSpeed37	56
65	Blaiku	51
66	Mahoose	44
66	AspenLightVT	44
68	bl1ss0	41
69	seramalen	40
70	wobn	39
70	Quotary	39
72	surfinggiraffejp	37
73	EdGalbraith	36
74	U_Mos_	35
74	_i_ERROR_i_	35
76	Comma__	34
76	EveryonesUncle	34
78	pintsizedrogue	30
78	Kubelz	30
78	mobunni	30
78	CattSoup	30
82	Bumpy419	29
82	__tomato	29
84	xxPipperDipperxx	28
85	_Dean_123	27
85	Fullut	27
85	set67	27
85	fluddd	27
89	6king6colt6	26
89	Mattesco	26
91	mwrty	25
91	censorsheep	25
93	CoffeeNoir	24
93	burbankbuilder28	24
93	Soplight	24
96	robocrypto	22
96	Motsaro	22
96	Akoot_	22
96	Groundler	22
96	_TCARREIRA_	22
101	Zippyzam	21
102	PaperCanvas	20
103	Racengan	19
104	WyngGoy	18
104	Soul_Atreus	18
106	corvidpartyfor6	17
106	UrbanPlanningEx	17
108	SoftSix	16
108	Jokerman369	16
108	Sorry_Arey	16
108	Quincannon	16
108	Avocadogerms	16
108	noodlesforbrains	16
114	m_be9	15
114	Onennon	15
114	El_Jalapeno	15
114	00000000-0000-0000-0009-01ff0c3e5e4f	15
118	QuiCreans	14
118	MrExplorer	14
118	Avrelion	14
118	Winklepicker279	14
118	Galactic_Badger	14
118	Truckoss	14
118	Jiminbub	14
118	RaxXEe	14
118	tompup	14
127	SaucyDark	12
127	Covalents	12
127	Bolete	12
127	XxCookiequeenxX	12
127	Enderxz3	12
127	Legendosh	12
133	ExtraDumb	11
133	NameGenerat0r	11
133	CornOnTheCobalt	11
136	SnowyAvi	10
136	Voxin2K	10
136	wrinkledpiglet	10
136	SingedBread	10
136	Kyrum2169	10
141	stellarjay	9
142	Bandito_Roamer	8
142	theonlymagikarp	8
142	_Shadow66_	8
142	Boipl	8
142	KeruNatsema	8
142	Karbl	8
142	marumochis	8
142	SvenskaHugo	8
142	Sral7	8
151	oscminus	7
151	Ender_Souls	7
153	Hpdinosaur	6
153	ashetrays	6
153	excelsionprime	6
153	Awyrlas	6
153	Chromary	6
153	Moofyman	6
153	tt4yy4	6
153	MinuteMira	6
153	QuesoCrusaderIII	6
153	monky_irl	6
153	pixelviolin	6
164	Groovy_MoonBird	5
164	squigglybones	5
164	KlausVonStiglitz	5
164	1442	5
164	SammiWolfGirl	5
164	KingMatthew506	5
170	CLG_Kata	4
170	Apollo_993	4
170	Niklas20114552	4
170	RebelAndroid	4
170	Historical_Sand	4
170	Swexti	4
170	dopplexd	4
170	titanlax	4
170	Blackberry1310	4
170	Saucepeh	4
170	MattieHD	4
170	poopybh	4
170	Scathra	4
170	Xalithia	4
170	mimbo1211	4
170	valiSW	4
170	whoaluv	4
170	Arceus1975	4
170	King_Pancake1	4
170	Skylord_Luke	4
170	ScootOfBoot	4
170	The11thDoctor	4
170	Kouridragon	4
170	MousePlays	4
170	YahooScreen9000	4
170	NormanFetus	4
170	IamCL4SSY	4
170	ReSynced	4
170	Tyrannosplart	4
170	claivin	4
170	StinkyDiplomat	4
170	Blu3beast	4
170	Barlycorn	4
203	Sleek_Storm_721	3
203	I_Am_Mushkin	3
203	Alteriity	3
203	Mimiir345	3
203	Zaridey	3
203	Ecplosive	3
203	KillerNekoRain	3
203	Toowny	3
203	Dakar_	3
203	Xclax101	3
203	iSammael	3
214	SugarMyNuggets	2
214	Jovaphobic	2
214	Mr_Byzantine	2
214	Houstonion	2
214	Iagoku	2
214	hm947	2
214	Ryker	2
214	livingdaydreams	2
214	Prismyst	2
214	Myszoaz	2
214	nocturne78	2
214	TheFlfthHorseman	2
214	Sparky_KT	2
214	Koffeeinz	2
214	roxycherry	2
214	cheerytomato	2
214	jushykins	2
214	AdvertisingMerc	2
214	lorpus	2
214	intropass	2
214	r123moore	2
214	John6970	2
214	SHAOBADMAN	2
214	RyuNeko932000	2
214	SvenskaSara	2
214	RebytreGT	2
214	JustAWill_	2
214	SonicRainBow_	2
214	RobotMinion101	2
214	Mr_Sun15	2
214	Leyna3	2
214	parodypatient	2
214	AuroraSkies	2
214	NomadicRobin_	2
214	Quaintster	2
214	Buuck_	2
214	Fildyr	2
214	Hisiste	2
214	Moss_2006	2
214	Juh1s	2
214	PortlyPete69	2
214	obzii	2
214	Deguns123	2
214	al626win52	2
214	Invintic	2
214	Catharsist	2
214	TheOnlyRake	2
214	Apicomplexa	2
214	Sorins	2
214	DairyNickel756	2
214	diggydog67	2
265	Whalezz	1
265	BoopDoop_123	1
265	ECstardust	1
265	MoistMicrowave	1
265	ShedJr_	1
265	Whiterooster001	1
265	GingerNeutron	1
265	thescout7	1
265	ketaminmann	1
265	Donutt	1
265	Blackerstons	1
265	wezzzi	1
265	_Crimson_Legate	1
265	natajimi	1
265	lolpoottoot	1
265	xzvu	1
265	K_a__a_n	1
