rank	username	minecraft:crafted/minecraft:fire_charge
1	eitanzaki	3839
2	beeperbeeper5	1728
3	emrekn	1726
4	Frozil20	1415
5	ConnorDanky_	1152
6	Di_infiri	768
7	YungMaki	579
8	Smashic	576
8	Racengan	576
8	Kowcio_	576
11	_Dean_123	573
12	TheSecondLord	546
13	Ezekson	201
14	Kubeusz2010	192
15	_Bguette_	186
16	teslawolf38	144
17	stellarjay	129
18	Smoke____	100
19	Euclidoris	84
20	Inchef	60
21	Akoot_	57
22	Arceus1975	54
23	sp00ky_ghost977	39
24	Soplight	27
25	SyK7	24
25	PhantomsGhost_	24
25	WET_WET_WET	24
25	tobinwilliams	24
29	xzvu	21
30	Merv__	12
31	HellsSponge	8
32	Jovaphobic	6
32	wiqor	6
32	lcvezra	6
35	ThiccExotic	3
35	thewindmillman	3
35	ItsAki_	3
