rank	username	minecraft:crafted/minecraft:quartz_stairs
1	joethahobo	7240
2	PigDab	2952
3	Groundler	2252
4	Hyp3rion_	1668
5	Freak_Genius	1652
6	ImpavidArcher	1521
7	Incinere	1148
7	Di_infiri	1148
9	EcksD	744
10	Lord_Jord	483
11	Skylord_Luke	460
12	lordpipe	408
13	nocturne78	404
14	Soplight	383
15	m_be9	364
15	Blaiku	364
17	PlasticOtari	328
18	Jackattack53	308
18	Spacewardharpy7	308
20	stahouo	284
21	_Nuf	224
22	Truckoss	220
23	HellsSponge	210
24	Frozil12	208
25	Merv__	202
26	CoffeeNoir	200
26	SammiWolfGirl	200
28	titanlax	196
29	Inbefour	188
30	KarlKaek	180
31	Nycteus_	172
32	r123moore	156
33	Wooptey	152
33	Blamphe	152
35	ProfessorBee	148
35	MakeHistory157	148
37	Winklepicker279	144
38	burbankbuilder28	132
39	soundad	128
40	Zythose	124
41	xxPipperDipperxx	120
41	tobinwilliams	120
43	The_slideV3	116
44	EcksDofficial	111
45	Ezekson	110
46	Swexti	108
46	himak1	108
48	Werbe	104
48	MightyWertu	104
50	NinjaKnifeKill	96
51	Kouridragon	92
52	__tomato	84
53	chipklip	80
53	Spenduh	80
55	CliffEmAll	76
55	Comma__	76
57	theonlymagikarp	64
58	MyNameIsDakar	62
59	Barlycorn	60
60	Skippeh	56
61	Legendosh	55
62	Jovaphobic	48
62	dartwaffle	48
62	Xclax101	48
65	set67	44
66	fffMike	40
67	Akoot_	37
68	teslawolf38	36
68	eitanzaki	36
68	MSK__	36
68	NieToksikpl	36
68	CharlieButt	36
73	ColeSnyder	32
73	tsitrawhy	32
73	trexgb	32
76	Jackster03	28
76	Mahoose	28
76	chlorinex	28
76	StinkyDiplomat	28
76	Razzgriz	28
76	MilleGrug	28
82	Lutres_Torane	27
83	Rebytre	25
84	Reamdin	24
84	Bazongoman	24
84	Leyna3	24
84	Sral7	24
88	I_Am_Mushkin	20
88	kekhon	20
88	Inchef	20
88	noam464	20
88	eiC_	20
88	SlinkyPinky	20
88	The_SlideV5	20
88	Smoke____	20
96	SaucyDark	16
96	beeperbeeper5	16
96	Whiterooster001	16
96	Avrelion	16
96	_Karmaa	16
96	SexcMf	16
96	Eraxa	16
103	GLLogan2	12
103	NotTrixi	12
103	ROY4LE	12
103	Deerfoot	12
103	JayToe	12
103	00000000-0000-0000-0009-01ff0c3e5e4f	12
109	6king6colt6	10
109	CrateOfBoxes	10
109	Jiminie	10
112	AlexxO_o	9
113	bigstankyy	8
113	Blackberry1310	8
113	ratglock	8
113	12Magner05	8
113	noodlepack	8
113	thescout7	8
113	ClemenPine	8
113	FreddyFart	8
113	MAns_44	8
113	El_Jalapeno	8
113	Optiprimus	8
113	SSytex_X	8
113	Fizznut909	8
113	Nicserso	8
113	FelixPSY375	8
113	jnp_gaming	8
129	Arceus1975	7
130	Mr_Byzantine	4
130	EMC_	4
130	HollieDaNugget	4
130	shdesolt	4
130	bloodbiter	4
130	Ardennes	4
130	Cortexia	4
130	_Dean_123	4
130	Fullut	4
130	Awyrlas	4
130	2Stout	4
130	Doom_melon	4
130	SuperPooch06	4
130	AJplaysMC_	4
130	Rumpletaezer	4
130	regulator75	4
130	RobotMinion101	4
130	_naturell	4
130	KeruNatsema	4
130	fkGrim	4
130	wobn	4
130	DarlaMeow	4
130	BumbleBeever	4
130	SingedBread	4
130	Factoroni	4
130	TheTommyGun63	4
130	bloomkieren	4
130	KingMatthew506	4
130	oxfordschool	4
130	Serval2000	4
130	kinas45y5	4
161	jacxhadow	3
161	PegLegPete93	3
163	500am	2
164	pintsizedrogue	1
