rank	username	minecraft:crafted/minecraft:waxed_exposed_cut_copper_stairs
1	EMC_	130
2	luseis	9
3	FiguraDei	8
4	Reneedium	5
5	Enderxz3	4
5	PlasticOtari	4
7	Manaateee	2
7	pixelviolin	2
