rank	username	minecraft:crafted/minecraft:soul_torch
1	pintsizedrogue	4708
2	noam464	2256
3	gcaisawesome	2016
4	beeperbeeper5	1380
5	mihimihimihi	765
6	Akoot_	716
7	mwrty	704
8	Historical_Sand	580
9	Smoke____	564
10	livingdaydreams	512
10	CattSoup	512
12	Skylord_Luke	480
13	Mahoose	454
14	eitanzaki	384
15	SammiWolfGirl	376
16	Skippeh	360
17	Marbz_	336
18	MrExplorer	324
19	Enderxz3	288
20	TheShyPig	272
21	r123moore	268
21	thewindmillman	268
23	ConnorDanky_	264
24	Groovy_MoonBird	256
24	T045RTY	256
24	TheSecondLord	256
24	Kakolbus	256
24	Jonafrog99	256
24	Hoid_the_Roamer	256
24	Billious	256
24	HellsSponge	256
24	MightyWertu	256
24	Blaiku	256
24	SpacesickPrism	256
24	Ezekson	256
36	Blackberry1310	236
37	teslawolf38	160
37	MAns_44	160
39	rarrq	144
39	Kowcio_	144
41	Cowison	140
42	Touched_Bread	128
42	luseis	128
44	Eraxa	112
45	xolstoi	100
46	_Boipl_	96
47	Dusk_95	92
48	RebelAndroid	84
49	kekhon	80
49	_Dean_123	80
51	Fullut	72
51	gustarlep	72
53	seramalen	68
54	UncreativeArtist	64
54	ZA07	64
54	Soplight	64
54	Legendosh	64
58	Awyrlas	52
59	Lord_Jord	48
59	2bolx_	48
61	ZeroKraken	40
62	Ardennes	36
62	CalebDHawk	36
62	00000000-0000-0000-0009-01ff0c3e5e4f	36
65	xxPipperDipperxx	28
65	CarltheCuck	28
67	jacxhadow	24
68	CliffEmAll	20
68	Kubeusz2010	20
70	Hermanni__	16
71	Ryker	12
71	eclipseboi	12
73	joethahobo	8
73	titanlax	8
73	12Magner05	8
73	Chromary	8
73	Moofyman	8
73	diggydog67	8
79	SquadMonster	4
79	Arceus1975	4
79	athereall	4
79	PlasticOtari	4
