rank	username	minecraft:crafted/minecraft:cherry_boat
1	LuvLuvLove	66
2	Jekyll	64
3	robonya_	8
4	Lorcout	4
4	Gus2005	4
4	StarCookiees_	4
7	mymayowasgone	3
7	beeperbeeper5	3
9	Apollo_993	2
9	Alteriity	2
9	royal_2	2
9	gabukun_	2
9	LovableFemboy	2
9	Werbe	2
9	AstreaTSS	2
16	KarlKaek	1
16	Lez_	1
16	Archsam	1
16	akap47	1
16	12Magner05	1
16	philandr	1
16	Torwynd	1
16	Hashises	1
16	Hyp3rion_	1
16	Taco_Cat898	1
16	Mr_Froxy	1
16	lordpipe	1
16	Synthoum	1
16	Corkchef	1
16	DairyNickel756	1
16	Yamdalorian	1
