rank	username	minecraft:crafted/minecraft:mossy_stone_brick_wall
1	AdmiralSmoke	216
2	Shogunite	198
3	soundad	78
4	thescout7	66
5	thewindmillman	55
6	Reamdin	48
6	Jackattack53	48
8	_Dean_123	42
9	Blackberry1310	36
10	Enderxz3	33
11	titanlax	18
11	xxPipperDipperxx	18
11	Winklepicker279	18
11	DemTechAlpha	18
15	ECstardust	12
15	Nicserso	12
17	Legendosh	7
18	pintsizedrogue	6
18	Merv__	6
18	Rich_Kat	6
18	Marbz_	6
18	Manaateee	6
23	_Huge_Male_	4
23	luseis	4
25	PlasticOtari	3
26	beeperbeeper5	2
26	Kowcio_	2
26	Soplight	2
29	UCP_TheKingK	1
