rank	username	minecraft:crafted/minecraft:nautilus_shell
1	Mahoose	35
2	Eraxa	18
3	Yamdalorian	15
4	TheSecondLord	10
4	12Magner05	10
6	Runic_Owl	8
7	pintsizedrogue	6
7	xxPipperDipperxx	6
9	EMC_	5
9	Hpdinosaur	5
9	Lez_	5
9	joethahobo	5
9	Blackberry1310	5
9	thescout7	5
9	Jackattack53	5
9	Snowflowe	5
9	Hoid_the_Roamer	5
9	oscminus	5
9	XxCookiequeenxX	5
9	claivin	5
9	FreakGenius	5
9	FiguraDei	5
9	EngagedGrub41	5
9	ConnorDanky_	5
9	Enderxz3	5
26	Frozil20	3
27	slkiey	2
27	TechnoNinja64	2
29	Akoot_	1
29	SpaceTurtleOX	1
