rank	username	minecraft:crafted/minecraft:purple_candle
1	Legendosh	84
2	luseis	64
3	_witch_craft_	60
4	thewindmillman	47
5	TheSecondLord	41
6	LuvLuvLove	37
7	skroobiez	15
8	Dakar_	14
9	PlasticOtari	8
10	Manaateee	5
11	Huwulling	4
12	PaperCanvas	3
13	XxCookiequeenxX	2
13	pixelviolin	2
13	Soplight	2
