rank	username	minecraft:crafted/minecraft:acacia_door
1	lillips	255
2	beeperbeeper5	144
3	KingMatthew506	57
4	Smoke____	54
5	Werbe	45
6	r123moore	42
7	joethahobo	36
7	thewindmillman	36
7	Steelynan	36
10	Maenara	33
11	LeeMcGee30	30
12	6king6colt6	18
13	Groovy_MoonBird	15
13	youhjjhhhjj	15
13	500am	15
13	loveseeker	15
13	WET_WET_WET	15
13	mountaingirl311	15
19	corvidpartyfor6	12
19	AJplaysMC_	12
19	Dusk_95	12
19	Enderslayerxz3	12
23	Mr_Byzantine	9
23	Mowelan	9
23	ShedJr_	9
23	dopplexd	9
23	himak1	9
23	Hoid_the_Roamer	9
23	TheShyPig	9
23	Kim_Jong_eel	9
23	binman420	9
23	TheSeismicDuck	9
23	EveryonesUncle	9
23	MyNameIsDakar	9
23	Groundler	9
23	mawileite	9
37	HellsSponge	8
38	pintsizedrogue	6
38	dudcreeper	6
38	EMC_	6
38	KarlKaek	6
38	SaucyDark	6
38	PlasticPrinter	6
38	Megarboh	6
38	lilsay	6
38	2Stout	6
38	hayybails	6
38	Zaridey	6
38	Winklepicker279	6
38	Snowflowe	6
38	KillerNekoRain	6
38	MustardDrinker	6
38	Moofyman	6
38	Inbefour	6
38	chipklip	6
38	560cool	6
38	Toriankel	6
38	layabout100	6
38	YungMaki	6
38	tartanboy	6
38	Lowjinx	6
38	EcksDofficial	6
38	JayToe	6
38	561cool	6
65	sp00ky_ghost977	5
66	CueMix	3
66	ImpavidArcher	3
66	hm947	3
66	Hpdinosaur	3
66	baxteerr	3
66	eitanzaki	3
66	Mahoose	3
66	peach0s	3
66	Fractured_	3
66	Vizzoid	3
66	Blackberry1310	3
66	Rich_Kat	3
66	m_be9	3
66	ThePoliteG	3
66	ProfessorBee	3
66	Fullut	3
66	set67	3
66	Scathra	3
66	thescout7	3
66	SLASHZEERA	3
66	brrh	3
66	benediktine1	3
66	DirtyBoar	3
66	Kakolbus	3
66	mariominejedi	3
66	Doom_melon	3
66	Jackattack53	3
66	Hyp3rion_	3
66	Chuvacevedo	3
66	DeeDeeThonk	3
66	MousePlays	3
66	MeanTugger	3
66	Ajax6	3
66	Leyna3	3
66	eSpawNa	3
66	twinkel_star24	3
66	fkGrim	3
66	Jiminie	3
66	Deodorante	3
66	Katthaj	3
66	Toowny	3
66	DarlaMeow	3
66	Frnjokl	3
66	Freak_Genius	3
66	SingedBread	3
66	Soul_Atreus	3
66	Chayula	3
66	cum_chalice	3
66	underscore_2	3
66	starbits140	3
66	Spenduh	3
66	stellarjay	3
66	PortlyPete69	3
66	xX_Stalin69_Xx	3
66	Dreamdbr14	3
66	Vellu21	3
66	Kubeusz2010	3
66	Dr0xzy	3
66	oxfordschool	3
66	smogfrog	3
66	PlasticOtari	3
66	zmpeg	3
66	h2p_emrld	3
129	Factoroni	2
