rank	username	minecraft:crafted/minecraft:brick_wall
1	Mr_Byzantine	712
2	weabis	516
3	burbankbuilder28	228
4	Nicserso	206
5	Spacewardharpy7	186
6	PlasticOtari	126
7	xolstoi	112
8	_stets	78
8	Soplight	78
10	SaucyDark	48
10	thewindmillman	48
12	noam464	42
13	Merv__	35
14	ImpavidArcher	24
14	Skylord_Luke	24
14	fkGrim	24
14	Quotary	24
18	EMC_	18
19	Tommhh	12
20	Felenov	7
21	Jovaphobic	6
21	KarlKaek	6
21	eitanzaki	6
21	titanlax	6
21	Chromary	6
21	ougstur	6
21	Steelynan	6
21	xorompole	6
21	AdmiralSmoke	6
30	luseis	5
31	SingedBread	4
32	Mattesco	2
33	500am	1
33	420BreadLizard	1
