rank	username	minecraft:crafted/minecraft:crimson_fence_gate
1	thewindmillman	272
2	Legendosh	212
3	beeperbeeper5	66
4	noam464	64
5	FreakGenius	61
6	AstreaTSS	60
7	mihimihimihi	24
8	TheSecondLord	22
9	RebelAndroid	20
9	Spacewardharpy7	20
11	gcaisawesome	18
12	luseis	17
12	SvenskaHugo	17
14	teslawolf38	9
14	Kubeusz2010	9
16	livingdaydreams	6
16	HellsSponge	6
18	Manaateee	5
19	Kowcio_	3
20	12Magner05	2
20	pixelviolin	2
20	Soplight	2
20	PlasticOtari	2
20	Yamdalorian	2
25	T045RTY	1
25	shadowthemonkey	1
25	Marbz_	1
