rank	username	minecraft:crafted/minecraft:yellow_carpet
1	YungMaki	15399
2	EcksD	7897
3	Jimb0nat0r	4761
4	Lez_	3190
5	joethahobo	2349
6	Manaateee	2313
7	Quaintster	2206
8	Xclax101	1665
9	Kowcio_	1641
10	Spacewardharpy7	1374
11	beeperbeeper5	1371
12	Legendosh	1099
13	Rumpletaezer	936
14	Huwulling	921
15	_Huge_Male_	903
16	Skylord_Luke	870
17	Ezekson	801
18	Crowman1	768
19	MattieHD	639
20	PazinGaming	483
21	diamondgolem35	480
22	_i_ERROR_i_	369
23	xxPipperDipperxx	336
24	Yamdalorian	288
25	HellsSponge	285
26	weabis	240
27	Blackberry1310	222
28	Swexti	192
28	Lord_Jord	192
30	NotMeanttoChange	190
31	mwrty	189
32	heckface	168
33	Groundler	162
34	Smashic	141
35	noam464	129
36	bl1ss0	111
36	EveryonesUncle	111
38	Mattesco	102
39	RebelAndroid	96
39	MoistMicrowave	96
39	IWorkAtIkea	96
39	500am	96
39	thewindmillman	96
39	Werbe	96
39	PaperCanvas	96
39	Cocoamallows	96
39	KingMatthew506	96
48	Alphanzt99	84
49	FishyBoy3811	66
50	theonlymagikarp	63
50	Inbefour	63
52	Megarboh	60
53	Froste131	57
54	4774	54
55	Jackattack53	51
55	Sral7	51
57	Di_infiri	48
57	TheWildMateo	48
57	lordpipe	48
57	Njensen7	48
61	TechnoNinja64	45
62	Y_A_N_N_I	36
63	Nicserso	33
64	kekhon	30
64	__tomato	30
64	TheWickedBird	30
67	ImpavidArcher	27
67	TheSecondLord	27
67	__Fanda__	27
67	FreakGenius	27
67	Skippeh	27
67	jnp_gaming	27
73	burbankbuilder28	24
73	lunkuku	24
75	miramyu	21
76	Merv__	18
76	Tommhh	18
76	NomadicRobin_	18
76	El_Jalapeno	18
76	djancak	18
76	Nekomin0	18
82	k_ce	15
82	Mr_Byzantine	15
82	ROY4LE	15
82	MAns_44	15
82	MakeHistory157	15
87	AJplaysMC_	12
87	Factoroni	12
87	PlasticOtari	12
90	420BreadLizard	11
91	pintsizedrogue	9
91	titanlax	9
91	Racengan	9
91	PortlyPete69	9
91	blimpeey	9
96	roxycherry	6
96	SteveCraftBlocks	6
96	Fullut	6
96	BilboBaggins23	6
96	LilLizardWizard	6
96	LexMakesHistory	6
96	Soplight	6
96	ConnorDanky_	6
104	CLG_Kata	3
104	EMC_	3
104	Mahoose	3
104	skroobiez	3
104	Ozixar	3
104	Tiberonus	3
104	SUSUGAM	3
104	crashomon	3
104	fr_ser	3
104	Hyp3rion_	3
104	Hoid_the_Roamer	3
104	SvenskaSara	3
104	Blaiku	3
104	Jjackoe	3
104	pixelviolin	3
104	SSytex_X	3
104	hermmm_	3
104	Kubeusz2010	3
