rank	username	minecraft:crafted/minecraft:snout_armor_trim_smithing_template
1	beeperbeeper5	18
2	Huwulling	10
3	tuckerdoodle	8
3	Enderxz3	8
5	Lez_	4
6	Jimb0nat0r	3
7	k_ce	2
7	CLG_Kata	2
7	Apollo_993	2
7	Secret_Canary	2
7	noam464	2
7	Jackattack53	2
7	hanaryheatwave	2
7	oscminus	2
7	Soplight	2
