rank	username	minecraft:crafted/minecraft:stone_stairs
1	EMC_	2876
2	m_be9	2264
3	thewindmillman	2116
4	Di_infiri	1248
5	Fuad_R	1060
6	cedric72	956
7	joethahobo	836
8	Jackattack53	668
9	Lez_	648
10	CoffeeNoir	608
11	abramgray	600
12	FreakGenius	570
13	eviltunix	504
14	ExtraDumb	496
15	Winklepicker279	452
16	ssleepless	448
17	Werbe	420
18	ImpavidArcher	398
18	Historical_Sand	398
20	PigDab	392
21	burbankbuilder28	388
22	ProbablyNick	360
23	Mahoose	349
24	WyngGoy	328
25	weabis	320
25	Spacewardharpy7	320
27	Chromary	316
28	Kouridragon	304
29	_stets	299
30	r123moore	292
31	non089	272
32	PlasticOtari	271
33	Merv__	268
33	MilleGrug	268
35	Inchef	260
36	pintsizedrogue	259
37	Aangezet	236
38	NatalieTW	224
39	BlankityMcBlank	220
40	Deodorante	216
41	xolstoi	208
42	RoskobiOne	192
43	lcvezra	184
44	ApophisNova	176
44	MyNamaSheff	176
46	Fullut	172
46	Dakar_	172
48	Meme25327	168
48	XxCookiequeenxX	168
50	SpaceGrenadier	161
51	Hyp3rion_	160
51	Inbefour	160
51	07shiny	160
54	Prismyst	156
54	Zythose	156
54	fkGrim	156
57	MinuteMira	148
58	Wooptey	144
58	Skylord_Luke	144
58	Racengan	144
61	little_dUki	136
62	xyct	128
63	AdmiralSmoke	125
64	6king6colt6	124
64	titanlax	124
64	geekbird	124
67	NieToksikpl	120
67	El_Jalapeno	120
67	Sheldor097	120
70	Genius4Hire	116
70	Elastiq	116
72	luseis	110
73	Smashic	109
74	ogoa	105
75	ECstardust	104
75	gcaisawesome	104
77	_Huge_Male_	96
77	GooseWithin	96
77	MAns_44	96
77	SexcMf	96
81	thescout7	92
81	Lord_Jord	92
81	pixelviolin	92
84	Mattesco	88
85	Noah_Bez	84
85	The_Quack_Dealer	84
85	RedcatVII	84
88	LordlessAbyss	80
88	RohnJosin	80
88	radioactv_jelly	80
91	RatatJuice	76
91	AlazelTheReal	76
91	The_slideV3	76
94	Ezekson	74
95	ZeroAbyssTTV	72
95	valkam13	72
95	Lutres_	72
95	Enderxz3	72
99	SmashingPump	68
99	NameGenerat0r	68
99	Steve897	68
102	Meatlaugh	66
103	Barjas	64
103	bloodbiter	64
103	Cortexia	64
103	drunkeeez	64
103	Krowuss	64
103	RobotMinion101	64
103	seramalen	64
103	AuroraSkies	64
111	FishyBoy3811	60
111	Steelynan	60
113	Quaintster	59
114	hollowww	56
114	Dogcorn69420	56
114	RadarHz	56
117	PazinGaming	52
117	lewieinnit	52
117	4774	52
117	LeauVox4921	52
117	andy_rex	52
117	BronkerBrum	52
117	KeruNatsema	52
124	Kubelz	50
125	Akoot_	49
126	DermeinUser	48
126	TheWildMateo	48
126	anbbang	48
129	Eczbek	47
130	Kowcio_	46
131	AshleeCW	44
131	nocturne78	44
131	theonlymagikarp	44
131	GravitySaint	44
135	TheMilkerOfCats	40
135	BlancoFlaco	40
135	Alteriity	40
135	TheSecondLord	40
135	Hanselhoof	40
135	imcombxt	40
135	Freeman666	40
135	Onennon	40
135	TheShyPig	40
135	PuFY	40
135	godipose	40
135	_Karmaa	40
135	Shogunite	40
135	LazySupport00	40
135	Aezekial	40
135	AltnumberF4	40
135	Powowowow	40
152	Mr_Byzantine	39
152	Kijiki	39
154	Ryan_GEMS	36
154	Blackberry1310	36
154	CrookedKaptain	36
154	Avrelion	36
154	ese_wn_po	36
154	OffWithTheirHead	36
154	Eraxa	36
154	jaimshae	36
162	Incinere	32
162	Tombo2004	32
162	Allanon1235	32
162	Blu3beast	32
162	Vorlice	32
162	FishisTTV	32
168	Sabby65	28
168	jessewegottacook	28
168	rarrq	28
168	CollinMH06	28
168	corpsecity	28
168	StinkyDiplomat	28
168	TheOnlyRake	28
168	Nicserso	28
176	beeperbeeper5	24
176	_Dean_123	24
176	Mewar	24
176	ElderRifken	24
176	layabout100	24
176	LordSpeed37	24
176	Fizznut909	24
176	Soffbord	24
176	EngagedGrub41	24
185	Rebytre	21
185	groofles	21
187	PhantomBionic	20
187	Euclidoris	20
187	Notta	20
187	12Magner05	20
187	kekhon	20
187	KGTV	20
187	SPUDonSTEROIDS	20
187	NotKaden_	20
187	MyNameIsJobo	20
187	Hiryu27	20
187	IamCL4SSY	20
187	Ze_BaronKrigler	20
187	potatocan	20
187	Biites	20
187	trexgb	20
187	diggydog67	20
203	CalebDHawk	19
204	Eczbox	17
205	dabloons	16
205	Frozil20	16
205	KarlKaek	16
205	Cryptacity	16
205	BobDeBouwer1337	16
205	mwrty	16
205	_8man	16
205	ougstur	16
205	parodypatient	16
205	EveryonesUncle	16
205	Deathkob	16
205	MakeHistory157	16
205	robotemo	16
205	CACTUSLAD	16
205	PortlyPete69	16
205	561cool	16
221	IWorkAtIkea	15
222	Mimiir345	14
222	Soplight	14
224	bearlystraight	13
225	jspwn	12
225	eitanzaki	12
225	T045RTY	12
225	fr0stss	12
225	sandmire	12
225	NotMeanttoChange	12
225	2Stout	12
225	BlueZabu	12
225	Nyxiom_	12
225	DTwenty	12
225	Tyrannosplart	12
225	Druid95	12
225	tsitrawhy	12
225	jcool7	12
225	Skippeh	12
225	smogfrog	12
225	The_SlideV5	12
225	Teebone15	12
243	Sleek_Storm_721	10
243	WYFYoyo	10
245	Myrosia	8
245	Da_Boss_Rani	8
245	tramizu	8
245	ProfessorBee	8
245	wiqor	8
245	prizm_	8
245	Windo_licker	8
245	CarltheCuck	8
245	SuperPooch06	8
245	_Boipl_	8
245	Shiirazu	8
245	Pootis11	8
245	wobn	8
245	Manaateee	8
245	BigCronkin	8
245	Cyntrical	8
245	Groundler	8
245	SingedBread	8
245	wwwwinnebagoooo	8
245	Smiguli_	8
245	Conrad139	8
245	SvenskaHugo	8
245	IdeallyGrey	8
245	starbits140	8
245	Celeste_121	8
245	annoyingenderman	8
245	mawileite	8
245	zOnlyKroks	8
245	Hermanni__	8
274	Kubeusz2010	7
275	Lumien_	6
275	jewbacaman	6
277	Hisiste	5
278	AikoShayz	4
278	Cowison	4
278	Flores991	4
278	Natty	4
278	Huwulling	4
278	IgnoredBee	4
278	heckface	4
278	TinMaster	4
278	John_Acacia	4
278	gilesmcriles	4
278	Tiberonus	4
278	_HoneySlime_	4
278	Enigma0251	4
278	UncreativeArtist	4
278	XboxPanda	4
278	M_Patata	4
278	fallingemma	4
278	xFaiithyX	4
278	NotSoJamie	4
278	yaboo88	4
278	Snowflowe	4
278	Felenov	4
278	selectrix	4
