rank	username	minecraft:crafted/minecraft:prismarine
1	gcaisawesome	37607
2	Blaiku	26366
3	Spacewardharpy7	24704
4	eitanzaki	18068
5	HellsSponge	14525
6	Smoke____	12543
7	MilleGrug	12119
8	Hyp3rion_	10671
9	Ezekson	9897
10	TheShyPig	7650
11	joethahobo	6856
12	Hisiste	5184
13	Enderslayerxz3	4850
14	Racengan	2926
15	oxfordschool	2403
16	Paintz	2304
17	MyNameIsJobo	1759
18	Mahoose	1737
19	set67	1728
20	noam464	1337
21	ImpavidArcher	1307
22	Jackattack53	1152
23	beeperbeeper5	1013
24	h2p_emrld	910
25	thewindmillman	814
26	CliffEmAll	785
27	PigDab	640
28	Shogunite	576
29	PlasticOtari	512
30	Arceus1975	501
31	Bumpy419	498
32	EveryonesUncle	480
33	Kakolbus	479
34	Snowflowe	469
35	Soplight	406
36	pintsizedrogue	362
37	Hiryu27	352
38	Akoot_	340
39	Incinere	328
40	Chromary	323
41	YoshikageBites	320
42	rarrq	314
43	Vellu21	306
44	Inbefour	305
45	ApophisNova	301
45	MyNamaSheff	301
47	Jiminie	296
48	_Dean_123	293
49	teslawolf38	275
50	M_Patata	257
50	MasterNueve	257
52	Xalithia	256
53	Merv__	253
54	_Karmaa	216
55	Skippeh	211
56	Awyrlas	208
56	Frozil12	208
58	EcksDofficial	145
59	lordpipe	143
60	Dusk_95	130
61	kekhon	128
61	Freak_Genius	128
63	PortlyPete69	113
64	CACTUSLAD	109
65	Blu3beast	97
66	Legendosh	90
67	YungJakobo	80
68	obzii	72
69	ooga47	66
70	T045RTY	64
70	ShedJr_	64
70	Notta	64
70	Marbz_	64
70	Drewen24	64
70	Eraxa	64
76	SpookyDraggin	57
77	Di_infiri	50
78	CoffeeNoir	48
78	_Boipl_	48
78	Nycteus_	48
81	Nicserso	40
82	Mr_Byzantine	36
82	El_Jalapeno	36
84	Steelynan	34
85	titanlax	32
85	ElectricDragon81	32
87	shyshyannne	29
88	KarlKaek	28
88	jnp_gaming	28
90	Powowowow	27
91	Onennon	26
92	RebelAndroid	20
92	m_be9	20
94	33sudo	19
95	Fullut	16
95	Factoroni	16
95	stellarjay	16
98	Rumpletaezer	12
98	DarlaMeow	12
100	EMC_	11
101	Maenara	9
102	thescout7	2
102	YungMaki	2
104	Rebytre	1
104	Groundler	1
104	Zoeyfortnite	1
