rank	username	minecraft:crafted/minecraft:copper_ingot
1	thewindmillman	40363
2	Mattesco	15596
3	Enderslayerxz3	15413
4	pintsizedrogue	10632
5	TheSecondLord	7496
6	LeauVox4921	6041
7	shrimp_flips	4639
8	500am	4067
9	Touched_Bread	3724
10	Spacewardharpy7	2091
11	00000000-0000-0000-0009-01ff0c3e5e4f	2026
12	MinttyFressh	1879
13	Soplight	1865
14	Smoke____	1841
15	Jimb0nat0r	1728
16	SpacesickPrism	1580
17	Flores991	1174
18	Khelvoryk	1162
19	corvidpartyfor6	1152
20	Mahoose	1030
21	Silvo614	1002
22	Valoth	896
23	SuperPooch06	895
24	Kubelz	843
25	EveryonesUncle	842
26	Winklepicker279	787
27	Jiminie	745
28	12Magner05	724
29	Njensen7	712
30	dartwaffle	709
31	Enigma0251	690
32	Jimi7hits	664
33	Jeteight	640
34	Moofyman	600
35	prizm_	592
35	WYFYoyo	592
37	Lord_Doob	532
38	Mr_Byzantine	519
39	Mookle96	478
40	Steelynan	444
41	00000000-0000-0000-0009-01fbab7ea71d	441
42	Snowflowe	434
43	SvenskaHugo	424
44	Nycteus_	421
45	Hyp3rion_	418
46	Vegvisir	413
47	Huwulling	402
47	mobunni	402
49	Solar_Power	380
50	MAns_44	377
51	non089	360
52	Lord_Zacler	346
53	SingedBread	339
54	Fuad_R	331
55	Ghemmah	326
56	Kowcio_	320
57	Myszoaz	316
58	Sleepy_Time_	293
59	pixelviolin	265
60	PlasticOtari	264
61	wwwwinnebagoooo	258
62	ZeroAbyssTTV	257
63	Ryker	243
64	ZoomieZoomie	227
65	kyouma777	224
66	Marbz_	219
67	Kakolbus	212
68	sp00ky_ghost977	207
69	mihimihimihi	189
70	RadarHz	159
71	GlitchyPlate810	153
72	Ze_BaronKrigler	152
73	crying_wolf_13	142
74	Saltymart	137
74	iHuntWeeaboos	137
76	Smashic	113
77	EtherealEspresso	111
78	MogusBussy69	107
79	Timfinity4	102
80	Toasty_Tom	97
80	Toriankel	97
82	Rocco_Lane	91
83	Skylord_Luke	82
84	Steven1282598	79
85	shineh10	77
86	ShedJr_	76
87	IdeallyGrey	74
88	Base_Tempest	70
89	orxngejuice	69
90	NameGenerat0r	68
91	ChampPog_	67
92	Alteriity	66
93	Killercatty78	64
93	Sharkbyte0	64
93	_Karmaa	64
93	underscore_2	64
97	TerraVl	62
98	coobert42	61
99	TheALV	58
100	Deathkob	52
101	Prismyst	51
101	fade_emerge78823	51
103	beeperbeeper5	47
103	CharlieButt	47
105	MSK__	45
105	Crowman1	45
105	Freak_Genius	45
108	calamariclam_I	41
109	MyNameIsDakar	39
110	Frozil20	38
111	fluddd	37
112	nut_e	34
113	YungMaki	32
114	RoskobiOne	29
114	Lutres_Torane	29
116	CoffeeNoir	27
117	AuroraSkies	26
118	tuckerdoodle	23
119	MinuteMira	22
120	Scags	21
120	Lumien_	21
120	cwartzo	21
123	HoltGrim	19
124	JingleLizi	18
124	starbits140	18
124	Xi_J1nping	18
124	2blox	18
128	Inchef	17
129	Eraxa	16
130	EMC_	9
130	StinkyDiplomat	9
130	EcksD	9
133	CalebDHawk	8
134	DinoDoctor_	5
135	regulator75	4
136	_Razar	3
136	Not_Insom	3
138	eitanzaki	2
138	TAKrules	2
138	_Boipl_	2
138	ItsDeltaMC	2
142	Da_Boss_Rani	1
142	00000000-0000-0000-0009-01f898304150	1
