rank	username	minecraft:crafted/minecraft:white_glazed_terracotta
1	QuiCreans	1344
2	mihimihimihi	537
3	Yamdalorian	487
4	Tobinator_007	424
5	QueenShuvi	287
6	noam464	241
7	ImpavidArcher	180
8	Parcc	148
9	Hyp3rion_	132
10	wwwwinnebagoooo	128
11	luseis	120
12	titanlax	108
13	Tristankill	100
14	Mr_Byzantine	76
15	Tommhh	72
15	Di_infiri	72
17	ROY4LE	67
18	Malorn_Aetherius	64
18	Blaiku	64
20	Snowflowe	59
21	lordpipe	48
21	Kowcio_	48
23	SaucyDark	40
23	RatatJuice	40
23	FreakGenius	40
26	Lez_	36
26	Krowuss	36
28	Sabby65	31
29	pixelviolin	29
29	Steelynan	29
31	oscminus	24
31	Lutres_	24
31	blackeemperor	24
34	CarltheCuck	20
35	PaperCanvas	19
36	Elastiq	17
37	Mahoose	16
37	Pumpkin_P_Patch	16
39	EMC_	12
39	joethahobo	12
39	himak1	12
39	Kakolbus	12
39	Karetoko	12
39	Soplight	12
39	EcksD	12
39	Enderxz3	12
39	PlasticOtari	12
39	Sral7	12
49	WET_WET_WET	9
49	AnnieBathory	9
51	Bumpy419	8
51	Dan_Scha	8
51	DemTechAlpha	8
51	StinkyDiplomat	8
51	Gus2005	8
51	Nicserso	8
57	m_be9	6
57	Inbefour	6
57	The_slideV3	6
60	_Virify_	4
60	Kamflame	4
60	YungMaki	4
60	Legendosh	4
64	500am	2
64	AJplaysMC_	2
64	ConnorDanky_	2
67	Bandito_Roamer	1
67	TheShyPig	1
67	Akoot_	1
67	ItsDeltaMC	1
67	EngagedGrub41	1
