rank	username	minecraft:crafted/minecraft:granite_wall
1	weabis	2355
2	Kubelz	606
3	Jackattack53	385
4	joethahobo	258
5	radioactv_jelly	192
6	TheShyPig	180
7	CoffeeNoir	144
8	Mr_Byzantine	133
9	fragrantmonke444	96
10	BobDeBouwer1337	90
11	HellsSponge	60
11	Optiprimus	60
13	Enderxz3	57
14	Meatlaugh	54
15	Felenov	48
16	Yamdalorian	42
17	thewindmillman	24
18	AuroraValkyrie	18
18	Fuhrer_Teemo	18
20	skitzxo	16
21	Doom_melon	12
21	Di_infiri	12
21	Gzrdy	12
21	Werbe	12
25	PlasticOtari	10
26	Manaateee	9
27	Nicserso	8
28	Frozil20	6
28	titanlax	6
28	cedric72	6
28	El_Jalapeno	6
28	TheKingK_	6
28	Steelynan	6
28	EcksD	6
35	pixelviolin	4
36	Merv__	2
36	lorywithay	2
