rank	username	minecraft:crafted/minecraft:iron_axe
1	12Magner05	3011
2	pintsizedrogue	229
3	Yamdalorian	127
4	luseis	83
5	TheShyPig	80
6	TheSecondLord	65
7	RatatJuice	63
8	FreakGenius	61
9	beeperbeeper5	56
10	joethahobo	55
10	2Stout	55
12	Lord_Jord	54
13	m_be9	52
13	TheWickedBird	52
15	_Dean_123	51
16	PlasticOtari	50
17	Hyp3rion_	49
18	SmashingPump	41
18	thescout7	41
18	ClemenPine	41
18	Bonzaidalek	41
22	lordpipe	40
23	THEKINGLyric10	39
24	teslawolf38	37
24	gcaisawesome	37
26	cheerytomato	36
26	OreTheBear	36
26	Kowcio_	36
29	Skylord_Luke	35
30	BlancoFlaco	34
30	Arceus1975	34
32	Lord_Zacler	33
33	bloodbiter	32
34	KarlKaek	30
35	ooga47	29
35	Spacewardharpy7	29
37	taengoos	28
38	IamCL4SSY	27
39	Bandito_Roamer	26
39	Blaiku	26
41	Akoot_	25
41	Avocadogerms	25
43	Jahara	24
43	Tiberonus	24
43	El_Jalapeno	24
43	LordAurum	24
47	_Virify_	23
47	Napoleonpancake	23
47	noam464	23
47	skitzxo	23
51	Arteriana	22
51	dopplexd	22
51	ZeroAbyssTTV	22
51	DanTheBuilderino	22
55	Sleepy_Time_	21
55	rarrq	21
55	Russiancat1	21
55	ewpunk	21
59	excelsionprime	20
59	Bumpy419	20
61	seanitoo	19
61	Di_infiri	19
61	Dan_Scha	19
61	Inbefour	19
65	Ecplosive	18
65	Hahaa_0	18
65	djancak	18
65	hermmm_	18
69	Deguns123	17
69	tompup	17
71	diamondgolem35	16
71	_Razaria	16
71	IWorkAtIkea	16
71	PegLegPete93	16
71	PeteO1995	16
71	Rumpletaezer	16
71	RyuNeko932000	16
71	Meatlaugh	16
71	Fildyr	16
71	Soplight	16
71	SammiWolfGirl	16
82	Apollo_993	15
82	MinttyFressh	15
82	Reneedium	15
82	PigDab	15
82	DTwenty	15
82	Xclax101	15
82	annebolyn	15
89	q_wq	14
89	Historical_Sand	14
89	GingerNeutron	14
89	Smashic	14
89	U_Mos_	14
89	_Cloverbelle_	14
89	wobn	14
89	JESS_THE_RERE	14
89	cytotoxaint	14
89	WyngGoy	14
89	Legendosh	14
100	SaucyDark	13
100	Kamflame	13
100	Paintz	13
100	Manaateee	13
100	Kferno	13
100	Wolverine4302	13
100	Enderxz3	13
107	soundad	12
107	eitanzaki	12
107	livingdaydreams	12
107	lorywithay	12
107	ActualPatbaf	12
107	Swexti	12
107	ThePoliteG	12
107	SPUDonSTEROIDS	12
107	purpolepickle	12
107	M_Patata	12
107	Fakiuss	12
107	rotten_mango	12
107	ChocolatePepsi	12
107	ThatMan_Dave	12
107	MasterNueve	12
107	Optiprimus	12
107	SvenskaHugo	12
107	xzvu	12
107	miramyu	12
107	TechnoNinja64	12
127	Ozixar	11
127	TheDankPlatypus	11
127	Snowflowe	11
127	seramalen	11
127	xorompole	11
132	CLG_Kata	10
132	Foof13	10
132	Frozil20	10
132	Tolhart	10
132	Natty	10
132	ratglock	10
132	CharlieButt	10
132	fallingemma	10
132	whoaluv	10
132	Kim_Jong_eel	10
132	NormanFetus	10
132	WeebleSock	10
132	monky_irl	10
132	IAmTheWalrus910	10
132	bruh072	10
132	pixelviolin	10
132	PortlyPete69	10
132	CalebDHawk	10
132	FormulaNewt3627	10
151	Mr_Byzantine	9
151	Ryker	9
151	Mahoose	9
151	FirsTimeGamingTV	9
151	corvidpartyfor6	9
151	Gingayy	9
