rank	username	minecraft:crafted/minecraft:pumpkin_seeds
1	thewindmillman	15704
2	Blaiku	1456
3	Di_infiri	1040
4	noam464	916
5	diggydog67	800
6	eitanzaki	752
7	Hyp3rion_	532
8	bigstankyy	512
8	T045RTY	512
8	lillips	512
8	YungMaki	512
12	Spacewardharpy7	368
13	HellsSponge	362
14	The_slideV3	344
15	Ezekson	308
15	Nicserso	308
17	Jackattack53	280
18	AuroraSkies	276
19	PigDab	264
20	RebelAndroid	256
20	TheSecondLord	256
20	Marbz_	256
20	omgitsdan33	256
24	gaming4Naming	232
25	beeperbeeper5	224
26	Kakolbus	208
27	Fast_Turtle	204
28	Quotary	192
29	Smoke____	184
30	KarlKaek	164
31	El_Jalapeno	160
32	starbits140	156
32	JayToe	156
34	Mr_Byzantine	148
35	m_be9	144
36	NormanFetus	140
37	Th6masss	128
38	joethahobo	124
39	MightyWertu	120
39	Sheldor097	120
41	CoffeeNoir	116
41	Blackberry1310	116
41	TechnoNinja64	116
44	CharlieButt	112
45	Historical_Sand	104
46	kekhon	100
46	Freedrik	100
48	H72l9w	96
48	cedric72	96
50	Tolhart	92
50	Inbefour	92
52	slkiey	88
53	fffMike	84
53	UrbanPlanner1978	84
55	ImpavidArcher	80
55	CruncyIsTaken	80
55	Typadopoulos	80
58	fred870d	76
58	StinkyDiplomat	76
58	__tomato	76
61	Fullut	72
61	xxPipperDipperxx	72
61	loveseeker	72
61	Katsuragi0243218	72
65	teslawolf38	68
65	SlayerCrypto	68
65	Voxin2K	68
65	Freak_Genius	68
69	Mewar	64
69	sp00ky_ghost977	64
71	youhjjhhhjj	60
71	TheShyPig	60
71	GigaSl	60
71	HesDemonPants	60
75	6king6colt6	56
75	Motsaro	56
75	PegLegPete93	56
75	Rumpletaezer	56
75	Leyna3	56
75	SSytex_X	56
81	Comma__	54
82	pintsizedrogue	53
83	rarrq	52
83	Hiryu27	52
85	Cowison	48
85	regulator75	48
85	seramalen	48
85	Xclax101	48
85	Luigipunch989	48
90	Lez_	44
90	Xalithia	44
90	CrateOfBoxes	44
90	Soplight	44
90	OfficerAnvil	44
95	pixelviolin	40
96	Kynigito	38
96	Barlycorn	38
98	soundad	36
98	Cortexia	36
98	crying_wolf_13	36
101	sandmire	32
101	Legendosh	32
103	Ganongeek	28
103	leaf26	28
103	stuy9	28
103	TheOuterCore	28
107	HollieDaNugget	24
107	Yellowpowr	24
107	bloodbiter	24
107	eviltunix	24
107	Zaridey	24
107	BlueZabu	24
107	nitram49b	24
107	Akoot_	24
107	TheSeismicDuck	24
107	Cocoamallows	24
107	PabloGonza02	24
107	SpacesickPrism	24
107	FishisTTV	24
120	RoskobiOne	20
120	livingdaydreams	20
120	dopplexd	20
120	CliffEmAll	20
120	ItsAki_	20
120	ooga47	20
120	BRRRN179	20
120	Jimi7hits	20
120	MustaLoordi	20
120	Ze_BaronKrigler	20
120	Pickel_Lord	20
120	plato2066	20
120	PortlyPete69	20
120	Kamiento	20
120	LeeMcGee30	20
120	Apicomplexa	20
120	Powowowow	20
137	Batoser	16
137	The_Thund	16
