rank	username	minecraft:crafted/minecraft:lapis_block
1	Frozil20	7656
2	joethahobo	4423
3	pintsizedrogue	3159
4	Hyp3rion_	3042
5	thewindmillman	2705
6	Enderslayerxz3	2170
7	TheShyPig	2055
8	livingdaydreams	1868
9	Spacewardharpy7	1678
10	lordpipe	1649
11	ROY4LE	1550
12	Werbe	1496
13	RebelAndroid	1490
14	EMC_	1409
15	Blaiku	1377
16	Snowflowe	1298
17	500am	1229
18	gcaisawesome	1202
19	kekhon	960
20	EveryonesUncle	952
21	mwrty	913
22	PhantomsGhost_	909
23	Airem_Core	906
24	Miko_Fullbuster	877
25	Jiminie	863
26	Cocoamallows	780
27	vandmanden	740
28	12Magner05	717
29	Rumpletaezer	665
30	MakeHistory157	609
31	Smoke____	603
32	sp00ky_ghost977	602
33	Steven1282598	584
34	Ecplosive	578
35	Freak_Genius	563
36	Nicserso	562
37	wezzzi	554
38	Kakolbus	517
39	beeperbeeper5	502
40	rarrq	500
41	Ezekson	476
42	T045RTY	474
43	Inbefour	467
44	NameGenerat0r	459
45	Fullut	454
46	PlasticOtari	451
47	pr33tu	448
48	ApophisNova	437
48	MyNamaSheff	437
50	Drlzyy	427
51	NieToksikpl	413
52	Dedalus36	406
53	MyNameIsJobo	401
54	cedric72	400
55	FallenCorps	391
56	diamondgolem35	387
57	Awyrlas	382
58	geekbird	380
59	GoofyBread	367
60	anbbang	362
61	Toriankel	361
62	Z3braYTIL	355
63	ayamefag	344
64	Mewar	335
65	SaucyDark	331
66	oxfordschool	330
67	PlzNoBM	324
68	Xclax101	319
69	Akoot_	310
70	Njensen7	306
71	djancak	303
72	Bandito_Roamer	298
73	Vetral1	286
74	Vizzoid	285
75	m_be9	284
76	calamariclam_I	279
77	Skippeh	276
78	yulgur1	272
79	censorsheep	266
80	starbits140	261
81	Arceus1975	259
81	SammiWolfGirl	259
83	Di_infiri	258
83	sammidk	258
85	xPixelRainx	256
86	Soap_Bender	253
87	TheThomas69	251
88	Myszoaz	250
89	SpaceGrenadier	248
90	Kyrum2169	246
91	_TCARREIRA_	245
92	corvidpartyfor6	243
92	WyngGoy	243
94	set67	241
95	lewieinnit	240
95	PeteO1995	240
97	Blackberry1310	237
98	Soplight	234
99	Wooptey	230
99	ClemenPine	230
101	Smashic	228
102	TheSecondLord	225
103	__Fanda__	224
103	masskedman	224
105	bloodbiter	221
106	claivin	216
107	Kowcio_	214
108	Flores991	213
109	ediballbearings	212
110	LeauVox4921	209
110	Rocco_Lane	209
112	Houstonion	208
113	ProfessorBee	207
113	Legendosh	207
115	G1ldor	206
116	SeverianTheLame	202
116	Winklepicker279	202
118	UncreativeArtist	192
118	AlphaWolfPlaysMC	192
120	selectrix	190
120	Factoroni	190
122	Voxin2K	187
123	DarlaMeow	186
124	groofles	184
125	TooManyDuck	182
126	fw3xywashere	181
126	Eczbek	181
128	Marbz_	180
129	MrKrabOnCoke	178
129	Zedducius	178
129	fluddd	178
132	ShedJr_	177
133	EfficientC52	176
134	fffMike	175
135	NoChumpChange	174
136	M_Patata	173
137	ssleepless	172
138	Merv__	171
139	MangoTheFish	170
140	StanceTB	167
141	FirsTimeGamingTV	166
141	MasterNueve	166
143	SSytex_X	165
144	__tomato	164
145	Kubelz	163
145	prizm_	163
145	SvenskaHugo	163
148	BlancoFlaco	162
149	1442	161
150	RefluxRatio	160
151	Paint	159
152	hcb238	157
152	_3Stump_	157
154	gabriels543	156
155	RadarHz	155
156	bloomkieren	154
157	Razzgriz	153
157	diggydog67	153
159	Steelynan	152
160	Corbsman	150
161	lizardfightclub	149
162	Xalithia	148
162	audiocracked	148
164	Froste131	147
164	fkGrim	147
164	Lutres_Torane	147
164	Hisiste	147
168	Cowison	146
168	Dogcorn69420	146
168	TheOuterCore	146
171	Valoth	144
171	Noah_Bez	144
171	Groundler	144
171	TheTommyGun63	144
175	laron58	143
176	_Nuf	142
177	Malorn_Aetherius	140
177	slkiey	140
177	MAns_44	140
180	DaviusMaximoose	139
181	FreddyFart	136
182	HellsSponge	133
183	Afinnity	132
184	SuperPooch06	131
185	AuroraValkyrie	130
185	BobDeBouwer1337	130
187	Invisie	129
187	KnightmareD	129
189	lotarp	128
189	Kim_Jong_eel	128
191	toj__	127
192	soundad	126
193	q_wq	125
193	H72l9w	125
195	Huwulling	124
195	MustaLoordi	124
195	jnp_gaming	124
198	pixelviolin	123
198	Powowowow	123
200	valkam13	121
200	NotMeowMix	121
202	tobinwilliams	120
202	Skylord_Luke	120
202	Deathkob	120
205	SingedBread	119
206	Stynxy	117
207	eviltunix	116
207	Fuhrer_Teemo	116
209	Eraxa	115
210	redikul	114
210	XboxPanda	114
210	epiksk8erduck	114
213	Batman922	113
213	shyshyannne	113
213	layabout100	113
216	teslawolf38	112
216	Mahoose	112
216	Jimi7hits	112
219	Reamdin	109
219	Drewen24	109
219	MightyWertu	109
222	TheTrueClipse	108
222	EcksDofficial	108
224	DeGodz4life	107
225	fade_emerge78823	106
225	kinas45y5	106
227	SlayerCrypto	103
227	CoryJJ	103
229	Hpdinosaur	102
229	Dreamdbr14	102
231	_czarny	101
231	Barlycorn	101
233	Gary_	99
233	Sleepy_Time_	99
235	Nyxiom_	97
236	mariominejedi	96
236	CaptainDeadBread	96
236	Jij0	96
236	UCP_TheKingK	96
240	LittleIan365	95
240	loveseeker	95
242	picardred	94
242	LotusProject	94
242	TeenMomTom	94
242	h2p_emrld	94
246	roxycherry	93
246	Smiguli_	93
248	Scathra	92
248	Bumpy419	92
248	ItsJunoIGuess	92
251	Historical_Sand	91
251	Skomo	91
253	MixerDixer	90
253	Vorlice	90
253	Xovalt_	90
253	CalebDHawk	90
257	Lukeee33	89
257	Rasmanden	89
257	Chuglyfe	89
260	yatsuta	87
260	microcrisp	87
260	FelixPSY375	87
263	tartanboy	86
264	Mr_Byzantine	85
264	PigDab	85
266	Jovaphobic	84
266	SoftSix	84
266	noam464	84
266	smogfrog	84
270	TAKrules	83
271	PegLegPete93	82
271	ToastedGamingYT	82
271	balin55	82
271	BlankityMcBlank	82
275	Rainaldus	81
276	301851	79
276	Karbl	79
276	Beagle_Boy_Bop	79
279	drumine	78
279	Nagasaki_Riku	78
281	youhjjhhhjj	76
281	whoaluv	76
281	iSammael	76
281	JayToe	76
285	Tobinator_007	75
285	Euclidoris	75
285	Donutt	75
285	AvaRosey	75
285	GlitchyPlate810	75
285	WYFYoyo	75
291	JohnnyFyes	74
291	leaf26	74
291	striker90333	74
294	andy_rex	73
294	SexcMf	73
294	Fizznut909	73
297	Iagoku	72
297	Luigipunch989	72
297	jcool7	72
300	TheOnlyRake	71
