rank	username	minecraft:crafted/minecraft:crimson_slab
1	noam464	16572
2	12Magner05	8218
3	Lez_	4614
4	thewindmillman	4144
5	beeperbeeper5	3090
6	Crowman1	2508
7	Lord_Jord	2420
8	doublemaki	2060
9	Koalander	1908
10	Huwulling	1792
11	Legendosh	1562
12	U_Mos_	1110
13	Mr_Byzantine	1026
14	Snowflowe	940
15	underscore_2	786
16	Yamdalorian	784
17	Hyp3rion_	768
18	Blaiku	696
19	shadowthemonkey	612
20	weabis	594
21	Kowcio_	510
22	TheWildMateo	402
23	_Razaria	384
24	PigDab	336
25	FreakGenius	282
26	k_ce	278
27	MAns_44	264
28	CattSoup	252
29	AstreaTSS	246
29	djancak	246
31	Merv__	240
32	himak1	234
33	kekhon	228
34	Steelynan	186
35	craaaash	180
36	taengoos	174
37	xxPipperDipperxx	162
38	RebelAndroid	156
39	rarrq	150
40	Marbz_	138
41	eitanzaki	126
41	Mahoose	126
41	Blackberry1310	126
41	Sleepy_Evelyn	126
41	500am	126
41	Rebytre	126
47	EveryonesUncle	120
47	Syropatathe	120
47	Luigipunch989	120
50	Napoleonpancake	114
50	SvenskaHugo	114
50	Nicserso	114
53	soundad	96
53	Blammm	96
55	pintsizedrogue	90
55	Manaateee	90
57	Awyrlas	78
58	gcaisawesome	76
59	gamerlord1324	72
60	Segotep999	60
61	KarlKaek	48
61	TheSecondLord	48
61	Dakar_	48
61	Optiprimus	48
65	luseis	36
66	Vetomo8000	27
67	Gryglu583	24
67	ConnorDanky_	24
67	PlasticOtari	24
70	Fullut	18
70	Werbe	18
72	_flud	12
72	kyouma777	12
72	TheKingK_	12
72	ZoomieZoomie	12
72	BiggieDawg	12
77	diamondgolem35	6
77	SOA1RR	6
77	CliffEmAll	6
77	BobDeBouwer1337	6
77	TheDankPlatypus	6
77	WolfRRN	6
77	Jonafrog99	6
77	podduszenie	6
77	HellsSponge	6
77	mihimihimihi	6
77	pixelviolin	6
77	Kubeusz2010	6
77	Jimb0nat0r	6
77	LuvLuvLove	6
77	00000000-0000-0000-0009-01ff0c3e5e4f	6
