rank	username	minecraft:crafted/minecraft:polished_blackstone_pressure_plate
1	pintsizedrogue	1428
2	500am	1107
3	noam464	326
4	beeperbeeper5	70
5	joethahobo	59
6	thewindmillman	54
7	Hyp3rion_	40
8	PlasticOtari	34
9	TheSecondLord	29
10	EcksD	27
11	Cowison	20
12	Mahoose	19
13	Soplight	16
14	Freak_Genius	11
15	Fullut	10
16	Smashic	8
16	oxfordschool	8
16	Smoke____	8
19	Ze_BaronKrigler	6
20	Lez_	5
21	CliffEmAll	4
21	MAns_44	4
23	XboxPanda	2
23	Moofyman	2
23	FishyBoy3811	2
23	Fuad_R	2
23	ItsDeltaMC	2
28	eclipseboi	1
