rank	username	minecraft:crafted/minecraft:prismarine_wall
1	Blaiku	2418
2	noam464	2094
3	eitanzaki	1278
4	joethahobo	360
5	CliffEmAll	240
6	Maenara	210
7	Jackattack53	192
8	MightyWertu	142
9	lizardfightclub	138
10	Mr_Byzantine	96
10	TheShyPig	96
12	Hiryu27	78
13	Hyp3rion_	72
14	Notta	60
14	Dusk_95	60
16	Smoke____	54
17	2blox	48
18	Legendosh	37
19	The_slideV3	36
19	Spacewardharpy7	36
19	MakeHistory157	36
22	Merv__	30
22	Enderslayerxz3	30
24	AuroraValkyrie	12
24	EMC_	12
24	Hoid_the_Roamer	12
24	djancak	12
24	Vellu21	12
24	Powowowow	12
30	Ezekson	7
31	gcaisawesome	6
31	Paintz	6
31	PigDab	6
31	fluddd	6
31	AltnumberF4	6
36	12Magner05	3
37	Mahoose	2
37	PlasticOtari	2
