rank	username	minecraft:crafted/minecraft:tide_armor_trim_smithing_template
1	Mattesco	138
2	Kowcio_	82
3	Hyp3rion_	28
3	TheWickedBird	28
5	MattieHD	16
6	beeperbeeper5	10
6	Jackattack53	10
6	U_Mos_	10
9	pintsizedrogue	8
9	BPTY4618	8
9	rarrq	8
9	Sleepy_Evelyn	8
9	Ezekson	8
9	Enderxz3	8
15	TheSecondLord	6
15	Krowuss	6
17	Apollo_993	4
17	Secret_Canary	4
17	Nach0Bear	4
17	hanaryheatwave	4
17	robonya_	4
17	Jimb0nat0r	4
23	gren_ben	2
23	royal_2	2
23	_witch_craft_	2
23	noam464	2
23	oscminus	2
23	luseis	2
23	emreknugrlu	2
23	Manaateee	2
23	IlkeCookes_	2
23	pixelviolin	2
23	pizzarel_	2
23	Legendosh	2
23	Spaghettatron	2
