rank	username	minecraft:crafted/minecraft:orange_shulker_box
1	Lez_	146
2	Hyp3rion_	137
3	Jackattack53	103
4	pintsizedrogue	101
5	thewindmillman	81
6	lillips	41
7	MightyWertu	29
8	500am	24
9	luseis	23
10	TheSecondLord	22
11	ItsDeltaMC	20
12	jnp_gaming	16
13	Smoke____	14
14	Awyrlas	13
15	Huwulling	12
15	YungMaki	12
15	PlasticOtari	12
18	kekhon	11
18	lordpipe	11
18	Kowcio_	11
21	Fullut	9
21	mwrty	9
23	Blackberry1310	7
23	Winklepicker279	7
23	Akoot_	7
23	HellsSponge	7
23	ConnorDanky_	7
23	Jimb0nat0r	7
29	beeperbeeper5	6
29	FirsTimeGamingTV	6
29	corvidpartyfor6	6
29	Bumpy419	6
29	masskedman	6
34	Rumpletaezer	5
35	set67	4
35	Covalents	4
35	Chromary	4
35	Deathkob	4
35	SkateboardR6	4
35	alderban107	4
35	Enderxz3	4
42	TooManyDuck	3
42	Hpdinosaur	3
42	Mahoose	3
42	Myszoaz	3
42	surfinggiraffejp	3
42	Marbz_	3
42	Rasmanden	3
42	audiocracked	3
42	claivin	3
42	Groundler	3
42	sp00ky_ghost977	3
42	AltnumberF4	3
54	Bandito_Roamer	2
54	PhantomsGhost_	2
54	RoskobiOne	2
54	teslawolf38	2
54	SaucyDark	2
54	joethahobo	2
54	rarrq	2
54	12Magner05	2
54	gabriels543	2
54	Snowflowe	2
54	IamCL4SSY	2
54	Lord_Jord	2
54	Tyrannosplart	2
54	fluddd	2
54	SingedBread	2
54	Hisiste	2
54	Eraxa	2
54	Steelynan	2
72	_Virify_	1
72	Mr_Byzantine	1
72	Cowison	1
72	soundad	1
72	Merv__	1
72	AuroraValkyrie	1
72	Sleek_Storm_721	1
72	Iagoku	1
72	Esme_1	1
72	ExtraDumb	1
72	eitanzaki	1
72	BoraMC	1
72	CoffeeNoir	1
72	Historical_Sand	1
72	Swexti	1
72	Euclidoris	1
72	jushykins	1
72	m_be9	1
72	shyshyannne	1
72	SteveCraftBlocks	1
72	Smashic	1
72	fade_emerge78823	1
72	Xalithia	1
72	LeauVox4921	1
72	SellyZ	1
72	xxPipperDipperxx	1
72	theonlymagikarp	1
72	gcaisawesome	1
72	SBean737	1
72	Zaridey	1
72	prizm_	1
72	Kakolbus	1
72	Ecplosive	1
72	__Fanda__	1
72	MyNameIsJobo	1
72	King_Pancake1	1
72	MangoTheFish	1
72	pappaberg	1
72	Hoid_the_Roamer	1
72	Skylord_Luke	1
72	ApophisNova	1
72	Kouridragon	1
72	Mattesco	1
72	wezzzi	1
72	fw3xywashere	1
72	yulgur1	1
72	Inbefour	1
72	EveryonesUncle	1
72	Deodorante	1
72	RoofTyler	1
72	_Karmaa	1
72	NameGenerat0r	1
72	StinkyDiplomat	1
72	Jamstroxian	1
72	Blu3beast	1
72	Nycteus_	1
72	Xclax101	1
72	Blaiku	1
72	Racengan	1
72	OffWithTheirHead	1
72	MovingFish7	1
72	TheTommyGun63	1
72	iSammael	1
72	OG_Songsee	1
72	Razzgriz	1
72	SexcMf	1
72	Mythic1130	1
72	Jij0	1
72	pixelviolin	1
72	stellarjay	1
72	Luigipunch989	1
72	Dogcorn69420	1
72	jcool7	1
72	Njensen7	1
72	Eczbek	1
72	EngagedGrub41	1
72	Iamthejo	1
72	Ezekson	1
72	MyNamaSheff	1
72	FelixPSY375	1
72	HesDemonPants	1
72	Powowowow	1
72	2bolx_	1
72	TechnoNinja64	1
72	Sral7	1
