rank	username	minecraft:crafted/minecraft:blue_concrete_powder
1	Hyp3rion_	20736
2	lordpipe	8768
3	Spacewardharpy7	6912
4	Xclax101	6008
5	MattieHD	4272
6	joethahobo	2808
7	beeperbeeper5	2608
7	HyperCave	2608
9	tartanboy	2304
10	Steelynan	2176
11	sp00ky_ghost977	1584
12	Kyrum2169	1272
13	Manaateee	1040
14	RoboTramp7865	912
15	_Dean_123	640
15	Dreamdbr14	640
17	Tobinator_007	512
17	Hoid_the_Roamer	512
17	Legendosh	512
20	Druid95	416
21	Mattesco	408
22	Merv__	392
23	__tomato	384
23	PlasticOtari	384
25	_i_ERROR_i_	374
26	thewindmillman	345
27	xxPipperDipperxx	312
27	starbits140	312
29	PazinGaming	256
29	Jackattack53	256
29	Klerick	256
29	Deathkob	256
33	Ezekson	240
34	ElKaySVK	232
35	XboxPanda	224
36	eitanzaki	200
37	mwrty	192
37	LeauVox4921	192
39	Kubeusz2010	176
40	noam464	160
40	Snowflowe	160
40	CornOnTheCobalt	160
43	HellsSponge	148
44	Lez_	144
45	EMC_	136
46	ExtraDumb	128
46	jacxhadow	128
46	Inchef	128
46	oscminus	128
46	Kim_Jong_eel	128
46	Maenara	128
46	claivin	128
46	SvenskaHugo	128
46	stellarjay	128
55	ImpavidArcher	104
55	TheShyPig	104
57	Jackster03	80
58	Notta	72
59	ROY4LE	64
59	Hiryu27	64
59	MakeHistory157	64
59	ConnorDanky_	64
59	Jimb0nat0r	64
64	Mahoose	56
64	Orcus113	56
64	Skippeh	56
64	AdmiralSmoke	56
68	Soplight	48
68	Iamthejo	48
70	SyK7	40
70	teslawolf38	40
72	pintsizedrogue	32
72	Kowcio_	32
74	500am	24
74	LordSpeed37	24
76	TheBiggestFeller	16
76	_Boipl_	16
76	obzii	16
76	MissCeleste7	16
76	Biites	16
81	AuroraValkyrie	8
81	NieToksikpl	8
81	Kakolbus	8
81	Truckoss	8
81	MousePlays	8
81	Quinasin	8
81	El_Jalapeno	8
81	KingMatthew506	8
81	Enderxz3	8
