rank	username	minecraft:crafted/minecraft:polished_granite
1	joethahobo	46852
2	Yamdalorian	16128
3	EMC_	9589
4	beeperbeeper5	9144
5	Hyp3rion_	4300
6	m_be9	3808
7	Xclax101	3635
8	weabis	3308
9	MoistMicrowave	3256
10	EveryonesUncle	2948
11	El_Jalapeno	2765
12	Mr_Byzantine	2580
13	Frozil20	2576
14	Werbe	2508
15	PazinGaming	2324
16	Kowcio_	2084
17	Winklepicker279	1956
18	Smashic	1948
19	Krowuss	1920
20	OfficerAnvil	1544
21	Marbz_	1408
22	MightyWertu	1196
23	Steelynan	1172
24	TheShyPig	1152
25	Kakolbus	1128
26	BobDeBouwer1337	1040
27	Hoid_the_Roamer	1024
28	Legendosh	988
29	ProbsNotNova	936
30	seramalen	904
31	oscminus	896
32	hermmm_	876
33	Arteriana	856
33	AlphaWolfPlaysMC	856
35	Fuhrer_Teemo	836
36	skitzxo	724
37	Nicserso	704
38	Pumpkin_P_Patch	696
39	Onennon	692
40	Optiprimus	672
41	teslawolf38	640
41	bpmm	640
43	Deerfoot	636
44	Merv__	625
45	hanaryheatwave	608
46	Touched_Bread	604
47	Inbefour	580
47	YungMaki	580
47	vandmanden	580
50	stellarjay	578
51	r123moore	552
51	Maenara	552
53	Huwulling	548
54	NoraTheYandere	528
54	_Karmaa	528
56	CrateOfBoxes	512
57	SSytex_X	500
58	Allanon1235	484
59	Alteriity	476
60	Crizma_	464
61	pixelviolin	458
62	slkiey	452
63	gcaisawesome	448
64	aec9	428
65	Vellu21	400
66	Doom_melon	392
66	Matorz	392
68	Ezekson	388
69	Historical_Sand	384
69	ProfessorDiaper	384
69	Sral7	384
72	Powowowow	356
73	Zythose	344
73	Darkgon	344
75	SpacesickPrism	340
76	Zedducius	336
77	Meatlaugh	332
78	j5ylim	328
79	EcksD	320
80	CoffeeNoir	316
81	Jokerman369	308
81	Zaridey	308
83	Racengan	304
84	12Magner05	296
85	theonlymagikarp	288
85	Vorlice	288
87	k_ce	280
87	kekhon	280
89	rarrq	276
90	sufjanlover	272
91	Tyrannosplart	268
92	SvenskaHugo	266
93	NameGenerat0r	260
93	_3Stump_	260
95	Lez_	256
95	burbankbuilder28	256
95	cedric72	256
95	Lord_Jord	256
95	HellsSponge	256
95	_TCARREIRA_	256
95	_i_ERROR_i_	256
102	p4lp	252
103	Di_infiri	244
103	Mattesco	244
105	AnnieBathory	240
106	ThePoliteG	232
107	Mahoose	204
107	mwrty	204
109	djancak	195
110	diamondgolem35	192
110	kars0n	192
112	07shiny	184
113	noam464	176
114	MattieHD	173
115	Tiberonus	168
116	AlexxO_o	164
116	Soplight	164
118	DSYisDizzy	160
118	luseis	160
120	himak1	156
120	ROY4LE	156
122	ImpavidArcher	148
122	bloodbiter	148
122	fkndweeb	148
122	Eraxa	148
122	Zoeyfortnite	148
127	remgrandt	144
127	owlcrush	144
127	Tergandius	144
130	markaus77	140
131	NatalieTW	136
131	pretty_pink_reno	136
131	ConnorDanky_	136
134	JESS_THE_RERE	132
134	KevinLevrone9983	132
136	Enderxz3	130
137	Gundam_Steven	128
137	SharpDev	128
137	NotoriousNina	128
137	fragrantmonke444	128
137	Fildyr	128
137	Chaotic1s	128
137	miramyu	128
137	TheOnlyRake	128
137	Wolverine4302	128
137	Schlitzman	128
147	Felenov	124
148	Bumpy419	120
149	thescout7	116
149	lordpipe	116
149	starbits140	116
149	Quotary	116
153	Mariopreeet	108
