rank	username	minecraft:crafted/minecraft:gold_ingot
1	Blaiku	342112
2	noam464	302853
3	EcksD	219257
4	thewindmillman	203764
5	eitanzaki	168963
6	Spacewardharpy7	160176
7	PigDab	134201
8	Smoke____	98192
9	MightyWertu	78715
10	Hyp3rion_	70124
11	MilleGrug	61950
12	NomadicRobin_	53436
13	Marbz_	49709
14	beeperbeeper5	44505
15	YungMaki	42090
16	Di_infiri	37400
17	Frozil12	32232
18	lillips	29173
19	RebelAndroid	24561
20	Racengan	23834
21	Historical_Sand	21091
22	Groundler	18858
23	HellsSponge	15572
24	PhantomsGhost_	15556
25	Lord_Jord	14415
26	oxfordschool	13442
27	gcaisawesome	13229
28	ZeroKraken	12893
29	pintsizedrogue	12599
30	Enderslayerxz3	12395
31	joethahobo	10684
32	Mahoose	10503
33	Kakolbus	10360
34	r123moore	9455
35	kekhon	9024
36	WyngGoy	8855
37	Hisiste	8069
38	Fullut	7935
39	Kowcio_	7205
40	diggydog67	7026
41	500am	6272
42	_Virify_	5416
43	mwrty	5277
44	TheShyPig	5208
45	DanTheBuilderino	5174
46	KG1999	5101
47	TheSecondLord	4978
48	Kyrum2169	4437
49	Snowflowe	4365
50	LexMakesHistory	4050
51	RadarHz	3991
52	egglapras	3702
53	GlitchyPlate810	3637
54	Lutres_Torane	3620
55	TechnoNinja64	3331
56	yulgur1	3068
57	fred870d	3008
58	Freak_Genius	2944
59	fw3xywashere	2922
60	jnp_gaming	2878
61	Cowison	2801
62	Jackattack53	2798
63	Legendosh	2658
64	stahouo	2633
65	Dedalus36	2625
66	Eraxa	2573
67	ApophisNova	2473
67	MyNamaSheff	2473
69	Werbe	2464
70	Inbefour	2439
71	set67	2395
72	MakeHistory157	2118
73	Njensen7	2026
74	AltnumberF4	2021
75	KartivGal	1981
76	Megarboh	1970
77	Skylord_Luke	1969
78	Yatitay	1954
79	masskedman	1928
80	ROY4LE	1875
81	wezzzi	1849
82	EMC_	1820
83	Drlzyy	1795
84	Steelynan	1790
85	2blox	1743
86	Blackberry1310	1734
87	FallenCorps	1689
88	m_be9	1683
88	MattieHD	1683
90	thescout7	1656
91	Cocoamallows	1642
92	livingdaydreams	1635
93	mariominejedi	1608
94	12Magner05	1590
95	AuroraValkyrie	1571
96	MovingFish7	1532
97	T045RTY	1529
98	chipklip	1479
99	RodSerlingCringe	1411
100	rarrq	1402
101	SaucyDark	1353
102	SingedBread	1295
103	ProfessorBee	1280
104	CoffeeNoir	1238
105	himak1	1214
106	Nicserso	1210
107	Rumpletaezer	1209
108	sp00ky_ghost977	1208
109	PortlyPete69	1172
110	TheDankPlatypus	1147
111	6king6colt6	1139
112	Z3braYTIL	1124
113	Zaridey	1117
114	claivin	1115
115	SuperPooch06	1110
116	__tomato	1072
117	bloodbiter	1044
118	Skippeh	1043
119	Bumpy419	1027
120	BlancoFlaco	1019
121	Akoot_	1014
122	xPixelRainx	1008
123	Groovy_MoonBird	1001
124	DarlaMeow	998
125	HolyVenom	990
126	ayamefag	984
127	loveseeker	978
128	Arceus1975	977
129	H72l9w	974
130	vandmanden	971
131	Ezekson	964
132	Winklepicker279	963
133	Kubelz	935
134	Jiminie	924
135	alderban107	912
136	UncreativeArtist	910
137	EveryonesUncle	905
138	MinttyFressh	888
139	Bandito_Roamer	884
140	Franco093	880
140	Miko_Fullbuster	880
142	Barlycorn	873
143	Windo_licker	834
144	bigstankyy	827
145	Airem_Core	826
146	teslawolf38	813
147	djancak	810
148	_Nuf	805
149	Vizzoid	796
150	KarlKaek	756
151	Myszoaz	739
152	Wooptey	738
153	_TCARREIRA_	732
154	Segotep999	726
155	MyNameIsJobo	722
156	censorsheep	720
157	Rocco_Lane	718
158	Onennon	707
159	fffMike	698
160	PhantomBionic	690
160	Xclax101	690
162	Menthas	682
163	fanofbands101	677
164	lordpipe	673
165	fluddd	671
166	PeteO1995	667
167	Vorlice	656
168	pixelviolin	652
169	The_SlideV5	648
170	Deathkob	646
171	Sky_light_KING	645
172	M_Patata	643
172	MasterNueve	643
174	Leyna3	642
175	MAns_44	632
176	Ecplosive	615
177	RefluxRatio	596
178	Dogcorn69420	593
178	kinas45y5	593
180	EfficientC52	588
181	SammiWolfGirl	587
182	Comma__	570
182	lcvezra	570
184	Dusk_95	567
185	_naturell	553
186	07shiny	550
187	GoofyBread	547
188	awesomeoneme	543
189	Maenara	538
190	CliffEmAll	532
191	TheSeismicDuck	530
191	SSytex_X	530
193	Spenduh	513
194	lotarp	511
195	TooManyDuck	507
196	Luigipunch989	499
197	eviltunix	494
