rank	username	minecraft:crafted/minecraft:warped_sign
1	noam464	2037
2	gcaisawesome	1734
3	Di_infiri	1519
4	EMC_	1010
5	Hyp3rion_	1005
6	eitanzaki	789
7	12Magner05	429
8	Arceus1975	268
9	thewindmillman	246
10	PigDab	157
11	teslawolf38	114
12	Mahoose	102
13	RealGroot	96
14	Blaiku	90
15	r123moore	84
16	rarrq	81
17	Jackattack53	72
18	beeperbeeper5	66
19	Apollo_993	63
20	mihimihimihi	51
21	Lord_Jord	48
22	Smoke____	39
23	Lutres_Torane	33
24	500am	30
25	Fuad_R	27
25	Spacewardharpy7	27
25	YungMaki	27
28	Fullut	24
29	Merv__	15
29	Marbz_	15
29	Ezekson	15
32	ZA07	12
32	Kowcio_	12
34	pintsizedrogue	9
34	CliffEmAll	9
34	FishyBoy3811	9
34	FishisTTV	9
38	HellsSponge	8
39	Alteriity	6
39	set67	6
39	Xalithia	6
39	SuperPooch06	6
39	Kokeech	6
39	sp00ky_ghost977	6
39	ZeroKraken	6
39	cichy096	6
39	Enderxz3	6
39	Legendosh	6
39	00000000-0000-0000-0009-01ff0c3e5e4f	6
50	T045RTY	3
50	TheSecondLord	3
50	lorpus	3
50	FreakGenius	3
50	fluddd	3
50	ZoharGoldMine	3
50	Decaying_Lotus	3
50	Soplight	3
50	SammiWolfGirl	3
50	EngagedGrub41	3
50	PlasticOtari	3
