rank	username	minecraft:crafted/minecraft:oak_door
287	Mitchasnipe	3
287	SaltineDream	3
287	Lisa_Katrina_17	3
287	Whalezz	3
287	Lepthymo	3
287	Batoser	3
287	YinToYin	3
287	HazyDrummer	3
287	SKYPEX_	3
287	ThatStupidSheep	3
287	eotzuca	3
287	LordlessAbyss	3
287	domon41c_2	3
