rank	username	minecraft:crafted/minecraft:cyan_banner
1	luseis	231
2	Manaateee	205
3	beeperbeeper5	109
4	Fullut	102
5	Werbe	74
5	Spacewardharpy7	74
7	TheShyPig	40
8	Mattesco	30
9	pintsizedrogue	27
10	YungMaki	25
11	Lord_Jord	20
12	noam464	18
13	ZeroKraken	16
14	Snowflowe	11
14	EveryonesUncle	11
16	Apollo_993	9
17	Merv__	8
18	SvenskaHugo	7
19	Mahoose	6
19	m_be9	6
19	Kakolbus	6
19	StarCookiees_	6
23	SaucyDark	5
23	Historical_Sand	5
25	Blackberry1310	4
25	Kowcio_	4
27	Bandito_Roamer	3
27	Mr_Byzantine	3
27	teslawolf38	3
27	Hiryu27	3
27	FishyBoy3811	3
27	Skippeh	3
33	KarlKaek	2
33	_Dean_123	2
33	Onennon	2
33	NomadicRobin_	2
33	HellsSponge	2
33	xolstoi	2
39	jessewegottacook	1
39	500am	1
39	Stiar	1
39	mariominejedi	1
39	Hoid_the_Roamer	1
39	iSammael	1
39	Ezekson	1
39	ConnorDanky_	1
