rank	username	minecraft:crafted/minecraft:honeycomb_block
1	Fullut	10288
2	pintsizedrogue	2145
3	ImpavidArcher	1317
4	RebelAndroid	659
5	SuperPooch06	540
6	thewindmillman	449
7	Onennon	264
8	noam464	257
9	Zoeyfortnite	256
10	Smoke____	255
11	500am	129
12	lordpipe	114
13	Hoid_the_Roamer	64
13	sp00ky_ghost977	64
15	Steelynan	48
16	EcksD	40
17	Werbe	32
18	PortlyPete69	31
19	lillips	24
20	djancak	20
21	ShedJr_	13
22	Incinere	6
22	beeperbeeper5	6
22	oxfordschool	6
22	Nicserso	6
26	bloodbiter	5
27	Mahoose	3
27	Lowjinx	3
29	Spacewardharpy7	2
29	kinas45y5	2
31	PhantomsGhost_	1
31	Blackberry1310	1
31	TheSecondLord	1
31	GLLogan2	1
31	claivin	1
31	Freak_Genius	1
31	MakeHistory157	1
