rank	username	minecraft:crafted/minecraft:light_blue_terracotta
1	YungMaki	8896
2	Rumpletaezer	4800
3	Hyp3rion_	4376
4	kekhon	3272
5	Spacewardharpy7	3080
6	XxCookiequeenxX	2944
7	lordpipe	2620
8	thewindmillman	2336
9	Lord_Jord	2212
10	rarrq	2048
11	TheShyPig	1986
12	noam464	1934
13	Sral7	1584
14	DarlaMeow	1344
15	Merv__	1224
16	Inbefour	1168
17	EMC_	1040
18	xxPipperDipperxx	952
19	joethahobo	680
20	PlasticOtari	544
21	Frozil12	520
22	Di_infiri	512
22	LexMakesHistory	512
22	NameGenerat0r	512
25	EcksDofficial	496
26	Snowflowe	460
27	sebastiensaborio	432
28	EveryonesUncle	384
29	Legendosh	336
30	Smoke____	330
31	Werbe	320
31	Blamphe	320
31	AssEatrAndLicker	320
31	MakeHistory157	320
35	ProbablyNick	256
35	Natty	256
37	ImpavidArcher	252
38	RadarHz	200
39	Mahoose	152
40	Bandito_Roamer	144
40	beeperbeeper5	144
42	Kouridragon	136
43	Groovy_MoonBird	128
43	theonlymagikarp	128
45	EcksD	96
46	Kakolbus	80
47	SellyZ	64
47	Marbz_	64
47	El_Jalapeno	64
47	Blaiku	64
47	mobunni	64
47	oxfordschool	64
53	2Stout	56
53	HellsSponge	56
53	The_SlideV5	56
56	Paint	48
57	mwrty	40
58	SokaOtaku	38
59	Onennon	32
59	Jiminbub	32
61	pixelviolin	31
62	Soplight	29
63	John6970	24
63	TheEnderman548	24
65	KarlKaek	16
65	Hpdinosaur	16
65	Wooptey	16
65	TheSecondLord	16
65	Hiryu27	16
70	NNikitas	12
70	FelixPSY375	12
72	Eraxa	10
73	AJplaysMC_	8
73	Arceus1975	8
73	Bumpy419	8
73	Deathkob	8
77	Doom_melon	6
77	fluddd	6
77	Nicserso	6
77	Enderslayerxz3	6
