rank	username	minecraft:crafted/minecraft:pink_carpet
1	YungMaki	44817
2	Spacewardharpy7	17043
3	joethahobo	15012
4	Manaateee	13154
5	thewindmillman	4302
6	Crowman1	2631
7	Rumpletaezer	2247
8	Huwulling	2055
9	Ezekson	1311
10	UCP_TheKingK	1150
11	Kowcio_	1000
12	jnp_gaming	960
13	Lez_	840
14	HellsSponge	493
15	lordpipe	321
16	AdmiralSmoke	300
17	kekhon	291
18	RebelAndroid	270
19	queenalina123	250
20	ZoomieZoomie	240
21	Groundler	228
22	Hermanni__	213
23	beeperbeeper5	210
24	Werbe	209
25	Crowvens	192
25	Quaintster	192
27	Cocoamallows	191
28	noam464	159
29	heckface	144
30	KingMatthew506	117
31	EcksD	102
32	lorywithay	96
32	Swexti	96
32	Segotep999	96
35	Alteriity	81
36	500am	72
37	xxPipperDipperxx	69
37	monky_irl	69
37	TechnoNinja64	69
40	TheShyPig	64
41	__tomato	60
42	Lord_Jord	51
43	_Dean_123	48
43	Di_infiri	48
43	PlzNoBM	48
46	KeruNatsema	45
46	Inbefour	45
48	Blackberry1310	42
49	djancak	39
49	PlasticOtari	39
51	_Boipl_	33
51	Avocadogerms	33
51	El_Jalapeno	33
54	AltnumberF4	24
55	EveryonesUncle	21
56	wrinkledpiglet	18
57	00000000-0000-0000-0009-01ff0c3e5e4f	16
58	eitanzaki	15
58	FishyBoy3811	15
58	Maenara	15
58	Deguns123	15
62	lunathelemon	12
62	TheSecondLord	12
62	LilLizardWizard	12
62	lcvezra	12
66	420BreadLizard	11
67	pintsizedrogue	9
67	Ravenbie	9
67	Fullut	9
67	thatbeanyboi	9
67	Voxin2K	9
67	MakeHistory157	9
67	_Tilariel_	9
74	NomadicRobin_	6
74	obzii	6
74	CattSoup	6
77	dabloons	3
77	Sleek_Storm_721	3
77	T045RTY	3
77	titanlax	3
77	roxycherry	3
77	MinttyFressh	3
77	excelsionprime	3
77	Motsaro	3
77	Chromary	3
77	Hyp3rion_	3
77	oscminus	3
77	cedric72	3
77	luseis	3
77	censorsheep	3
77	Blaiku	3
77	Lunkuku	3
