rank	username	minecraft:crafted/minecraft:dark_oak_fence
1	500am	3729
2	Blackberry1310	3087
3	TheShyPig	2532
4	Frozil12	2528
5	Merv__	2241
6	Dusk_95	1600
7	beeperbeeper5	1578
8	M_Patata	1446
8	MasterNueve	1446
10	HellsSponge	1280
11	ROY4LE	1216
12	Groovy_MoonBird	1185
13	m_be9	1179
14	rarrq	1116
15	EMC_	1071
16	Deguns123	1059
17	jnp_gaming	1047
18	pintsizedrogue	954
19	KingMatthew506	894
20	oxfordschool	708
21	burbankbuilder28	666
22	jacxhadow	660
23	Njensen7	654
24	Russiancat1	651
25	kekhon	621
26	El_Jalapeno	588
27	YoshikageBites	552
28	Incinere	546
28	avalan64	546
30	Werbe	543
30	AssEatrAndLicker	543
32	NormanFetus	537
33	xxPipperDipperxx	525
34	joethahobo	495
35	brycepants	489
36	Flores991	477
37	TheSecondLord	456
37	AlphaWolfPlaysMC	456
39	EveryonesUncle	450
40	TheDankPlatypus	411
41	GingerNeutron	408
42	RatatJuice	402
42	Stiar	402
44	Fullut	381
45	Mahoose	375
46	sebastiensaborio	372
47	r123moore	369
48	Ecplosive	363
48	AnnieBathory	363
50	SaucyDark	360
50	chlorinex	360
52	Cortexia	354
53	EcksDofficial	339
54	ayamefag	336
55	Jiminie	330
56	wezzzi	297
57	Bolete	288
57	Ezekson	288
59	NameGenerat0r	285
60	XxCookiequeenxX	279
61	Nicky_H225	261
62	Dedalus36	252
63	Onennon	246
64	eviltunix	237
64	The11thDoctor	237
64	Soplight	237
67	Barlycorn	234
68	lcvezra	228
69	MyNameIsJobo	222
69	censorsheep	222
69	Spenduh	222
69	Sral7	222
73	PortlyPete69	216
74	Notta	213
75	Bandito_Roamer	204
75	YungJakobo	204
75	MindyDooWho	204
75	audiocracked	204
79	intropass	201
80	Lord_Jord	198
80	Skippeh	198
82	numbra	192
82	impossibleteapot	192
82	Wowful	192
82	IdeallyGrey	192
86	Nach0Bear	183
86	Winklepicker279	183
88	benediktine1	180
89	MinttyFressh	174
89	thescout7	174
89	yulgur1	174
89	MyNameIsDakar	174
93	yoyoYoloMonke	171
93	LordSpeed37	171
95	dongli	165
96	bigstankyy	162
97	Kateesaur	159
98	MightyWertu	153
99	teslawolf38	150
99	lillips	150
101	Matorz	147
102	MakeHistory157	141
102	TheOnlyRake	141
104	AngalexikCZ	138
104	bruh072	138
106	brofrickcheaters	135
107	Paint	132
108	6king6colt6	129
108	FirsTimeGamingTV	129
108	Racengan	129
108	SammiWolfGirl	129
108	Legendosh	129
113	Inchef	126
113	2Stout	126
115	livingdaydreams	123
116	Tobinator_007	117
116	CoffeeNoir	117
116	NomadicRobin_	117
119	Scathra	114
120	Cowison	108
120	SharpDev	108
122	CheifJumbo	105
123	titanlax	102
123	Groundler	102
123	Vellu21	102
126	Euclidoris	99
126	Freak_Genius	99
126	YungMaki	99
126	GlitchyPlate810	99
130	noam464	96
130	KeruNatsema	96
130	Airem_Core	96
130	Smoke____	96
134	eitanzaki	93
135	Jovaphobic	90
136	RohnJosin	87
136	Leyna3	87
138	Eraxa	84
139	AuroraValkyrie	81
139	SellyZ	81
139	Xclax101	81
139	Spacewardharpy7	81
139	fffMike	81
144	Inbefour	78
144	Hermanni__	78
146	Snowflowe	75
147	KarlKaek	72
147	Zythose	72
147	Travka100	72
147	smogfrog	72
151	Sleek_Storm_721	66
151	Khelvoryk	66
151	ApophisNova	66
151	420BreadLizard	66
151	fluddd	66
151	MyNamaSheff	66
157	RosaDoesMC	63
157	Yatitay	63
157	Natty	63
157	orxngejuice	63
157	BlankityMcBlank	63
157	stahouo	63
163	ProfessorBee	60
163	Megarboh	60
163	SuperPooch06	60
163	Nycteus_	60
167	carloselpapii	57
167	seramalen	57
167	Smiguli_	57
170	ImpavidArcher	54
170	Skylord_Luke	54
170	Akoot_	54
170	Hisiste	54
170	Optiprimus	54
175	Ganongeek	51
175	Motsaro	51
175	Bumpy419	51
175	Blaiku	51
175	SexcMf	51
175	Pickel_Lord	51
175	__tomato	51
175	PlasticOtari	51
183	_Razar	48
183	Sebaschan__	48
183	MrExplorer	48
183	Xalithia	48
183	Rumpletaezer	48
183	dezxalo	48
183	Fuhrer_Teemo	48
183	Shogunite	48
183	kyouma777	48
183	EcksD	48
183	Lowjinx	48
194	Ssor69	45
194	silverpopcorn	45
196	dudcreeper	42
196	diamondgolem35	42
196	Atroxes	42
196	Hiryu27	42
196	RobotMinion101	42
196	Mister3z	42
202	_Karmaa	39
202	GeromeMerris	39
202	cichy096	39
202	mountaingirl311	39
202	h2p_emrld	39
207	Ozixar	36
207	Ardennes	36
207	Kynigito	36
207	Lord_Zacler	36
207	Deathkob	36
212	Foof13	33
212	SquadMonster	33
212	Di_infiri	33
212	Hail_the_wombat	33
212	monky_irl	33
212	pixelviolin	33
212	JasmineGK	33
219	yaboo88	30
219	sp00ky_ghost977	30
219	kinas45y5	30
222	heckface	27
222	CliffEmAll	27
222	Purplehere	27
222	The_slideV3	27
222	voiding_	27
222	anbbang	27
228	emrekn	24
228	PegLegPete93	24
228	Boogaloo242	24
228	pappaberg	24
228	Skomo	24
228	Warlord324	24
228	Ze_BaronKrigler	24
228	Kukkelikuk	24
228	annoyingenderman	24
228	SirBreadward	24
238	_stets	21
238	BlancoFlaco	21
238	Cryptacity	21
238	XboxPanda	21
238	DTwenty	21
238	GoofyBread	21
238	Blu3beast	21
245	Deerfoot	20
246	_NieToksikpl_	18
246	youhjjhhhjj	18
246	SidorAlex	18
