rank	username	minecraft:crafted/minecraft:redstone_lamp
1	Hyp3rion_	10550
2	Zythose	6584
3	r123moore	4948
4	lillips	2971
5	beeperbeeper5	2916
6	Xclax101	1152
7	thewindmillman	1138
8	lordpipe	786
8	Smoke____	786
10	noam464	718
11	Awyrlas	645
12	pintsizedrogue	552
13	joethahobo	443
14	500am	435
15	TheSeismicDuck	424
16	Spacewardharpy7	390
17	_Karmaa	379
18	Lez_	362
19	Kowcio_	330
20	ApophisNova	296
20	MyNamaSheff	296
22	EveryonesUncle	288
23	TheShyPig	265
24	Werbe	256
25	m_be9	247
26	Di_infiri	241
27	Skippeh	235
28	anbbang	229
29	MyNameIsJobo	211
30	SSytex_X	207
31	TheThomas69	206
32	Steelynan	196
33	MuffinManzz	176
34	OfficerAnvil	175
35	SDMNAEK	172
36	ROY4LE	162
37	Akoot_	159
38	07shiny	155
39	mihimihimihi	153
40	Kakolbus	144
41	PlasticOtari	142
42	Fuad_R	135
43	Mattesco	132
43	Blaiku	132
45	Ssor69	128
45	Vorlice	128
47	Lord_Jord	125
48	_Dean_123	120
49	Hisiste	114
49	Dusk_95	114
51	El_Jalapeno	111
52	Soplight	107
53	NoChumpChange	103
54	TheSecondLord	102
55	IamCL4SSY	97
56	kekhon	96
56	WyngGoy	96
58	MattieHD	95
58	Winklepicker279	95
60	Groundler	92
61	YungMaki	91
62	Ezekson	90
63	Iamthejo	89
64	yulgur1	88
65	Frozil20	86
66	HellsSponge	84
67	Touched_Bread	82
68	geekbird	81
68	Legendosh	81
70	sp00ky_ghost977	80
71	jacxhadow	79
72	rarrq	77
73	fffMike	75
74	burbankbuilder28	71
75	ImpavidArcher	64
75	ProfessorBee	64
75	tobinwilliams	64
75	kyouma777	64
75	alderban107	64
75	EngagedGrub41	64
81	lcvezra	58
82	Prismyst	55
82	00000000-0000-0000-0009-01ff0c3e5e4f	55
84	TechnoNinja64	50
85	Megarboh	49
85	corvidpartyfor6	49
87	MAns_44	48
87	Blu3beast	48
89	Esme_1	45
89	xxPipperDipperxx	45
89	stellarjay	45
92	Dogcorn69420	43
93	MilleGrug	42
94	The_slideV3	40
94	UltraZombie	40
94	xolstoi	40
97	Jij0	37
98	Rainaldus	36
99	thescout7	35
99	BumbleBeever	35
101	SammiWolfGirl	34
102	Tommhh	32
102	SteveCraftBlocks	32
102	Motsaro	32
102	ClemenPine	32
106	mawileite	31
107	FishyBoy3811	29
108	YungWali	28
109	bigstankyy	27
109	Western_1	27
109	ConnorDanky_	27
112	Houstonion	26
112	Comma__	26
112	Kubeusz2010	26
115	eitanzaki	25
115	whoaluv	25
115	MangoTheFish	25
115	Eczbek	25
115	Quotary	25
115	bladeefan2009	25
121	gary_	24
121	madderfall	24
121	SkateboardR6	24
124	Merv__	21
125	AnnieBathory	20
125	Skylord_Luke	20
125	FreakGenius	20
128	mwrty	19
129	RoofTyler	18
129	Racengan	18
129	Fildyr	18
132	Mahoose	17
132	12Magner05	17
132	Rumpletaezer	17
132	Lord_Doob	17
136	T045RTY	16
136	TheDiamondCG	16
136	gcaisawesome	16
136	SlayerCrypto	16
136	PigDab	16
136	JESS_THE_RERE	16
136	GoofyBread	16
136	Eraxa	16
136	Kijiki	16
136	PortlyPete69	16
136	Winston_Ingram	16
147	PhantomsGhost_	15
147	bloodbiter	15
147	fluddd	15
147	MusicMe1005	15
151	301851	14
151	dopplexd	14
151	AlexStrange	14
151	ori0le	14
151	StinkyDiplomat	14
151	Nicserso	14
151	Wolverine4302	14
158	_Boipl_	13
158	ougstur	13
158	Inbefour	13
161	ZaneABrain	12
161	GLLogan2	12
161	Kouridragon	12
161	LilLizardWizard	12
165	CoffeeNoir	11
165	pappaberg	11
165	Maenara	11
165	CalebDHawk	11
169	RatatJuice	10
169	Bumpy419	10
169	jnp_gaming	10
169	vandmanden	10
173	claivin	9
173	Typadopoulos	9
173	iSammael	9
173	pixelviolin	9
173	bloomkieren	9
178	eviltunix	8
178	Jackattack53	8
178	Onennon	8
178	MightyWertu	8
178	mobunni	8
183	UncreativeArtist	7
183	LeauVox4921	7
183	eiC_	7
186	ColeSnyder	6
186	Donutt	6
186	420BreadLizard	6
186	PlzNoBM	6
190	Minimize501	5
190	Blackberry1310	5
190	Fullut	5
190	himak1	5
190	Deathkob	5
195	Ryker	4
195	Reamdin	4
195	Malorn_Aetherius	4
195	Drewen24	4
195	LexMakesHistory	4
195	Soap_Bender	4
201	Arceus1975	3
201	Hiryu27	3
201	valkam13	3
201	SpouHn	3
201	Tyrannosplart	3
206	RebelAndroid	2
206	jessewegottacook	2
206	Da_Boss_Rani	2
206	ThePoliteG	2
206	Rasmanden	2
206	SaintJosie	2
206	Deerfoot	2
206	Barlycorn	2
206	Leithz6	2
206	Optiprimus	2
206	MissCeleste7	2
206	EcksD	2
218	Tolhart	1
218	ivorico	1
218	FirsTimeGamingTV	1
218	picardred	1
218	shdesolt	1
218	Paintz	1
218	benediktine1	1
218	Zaridey	1
218	prizm_	1
218	fr_ser	1
218	Rebytre	1
218	RobotMinion101	1
218	TheTrueClipse	1
218	stuy9	1
218	luseis	1
218	Kyrum2169	1
218	Haadrada	1
218	Enderxz3	1
218	UrbanPlanningEx	1
218	Zoeyfortnite	1
218	Jordan_R	1
