rank	username	minecraft:crafted/minecraft:gray_stained_glass_pane
1	joethahobo	23867
2	r123moore	4624
3	beeperbeeper5	3776
4	PlasticOtari	2160
5	TheShyPig	1424
6	Chromary	640
7	Mattesco	624
8	Merv__	576
9	MattieHD	512
9	Soplight	512
11	Inchef	416
12	cuddlyMonster	376
13	pixelviolin	352
14	500am	320
15	Mahoose	304
16	TheSecondLord	288
17	Pumpkin_P_Patch	272
18	SammiWolfGirl	256
19	EMC_	240
20	emreknugrlu	224
21	cedric72	200
22	JETrotter	192
23	U_Mos_	176
23	Manaateee	176
25	kekhon	160
25	BeardBois	160
25	AltnumberF4	160
28	XxCookiequeenxX	144
28	ConnorDanky_	144
30	pintsizedrogue	136
31	Lez_	128
31	bloodbiter	128
31	craaaash	128
31	Jackattack53	128
31	ApophisNova	128
31	Groundler	128
31	MyNamaSheff	128
38	miramyu	126
39	MonitorLizards	112
40	Frozil20	96
40	Snowflowe	96
40	EveryonesUncle	96
40	LuvLuvLove	96
44	Huwulling	80
44	El_Jalapeno	80
44	Spacewardharpy7	80
44	Eraxa	80
48	eitanzaki	64
48	milltesco	64
48	Arceus1975	64
48	Rebytre	64
48	Werbe	64
48	hermmm_	64
54	JokoFiskare	48
54	rarrq	48
54	hanaryheatwave	48
54	Blaiku	48
54	Kowcio_	48
59	ECstardust	32
59	Blackberry1310	32
59	bl1ss0	32
59	Solar_Power	32
59	Onennon	32
59	IamCL4SSY	32
59	_Karmaa	32
66	_Huge_Male_	24
66	xxPipperDipperxx	24
68	Groovy_MoonBird	16
68	Jalvajar	16
68	PazinGaming	16
68	ImpavidArcher	16
68	Raltemoxitonica	16
68	Literally_Rat	16
68	Historical_Sand	16
68	Rumpletaezer	16
68	Hyp3rion_	16
68	HellsSponge	16
68	Enderxz3	16
68	Yamdalorian	16
80	livingdaydreams	8
80	IWorkAtIkea	8
80	Fuad_R	8
