rank	username	minecraft:crafted/minecraft:iron_ore
1	Shiirazu	244
2	Jamstroxian	99
3	intropass	49
4	_Bguette_	34
5	Luigipunch989	23
6	monky_irl	21
7	KarlKaek	11
8	Ze_BaronKrigler	6
